"","code","title","timing","scope","severity","score","invasive","species","X.y","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","category.n"
"11","8.1","Invasive non-native/alien species/diseases (Herpestes javanicus_old)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Herpestes javanicus_old","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"12","8.1","Invasive non-native/alien species/diseases (Ovis aries)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Ovis aries","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"13","8.1","Invasive non-native/alien species/diseases (Plasmodium relictum)","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7","Plasmodium relictum","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"14","8.1","Invasive non-native/alien species/diseases (Rattus exulans)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus exulans","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"15","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus rattus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"16","8.1","Invasive non-native/alien species/diseases (Toxoplasma gondii)","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7","Toxoplasma gondii","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"17","8.1.2","Named species (Bos taurus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Bos taurus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"18","8.1.2","Named species (Capra hircus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Capra hircus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"19","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Felis catus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"20","8.1.2","Named species (Herpestes javanicus_old)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Herpestes javanicus_old","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"21","8.1.2","Named species (Ovis aries)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Ovis aries","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"22","8.1.2","Named species (Plasmodium relictum)","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7","Plasmodium relictum","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"23","8.1.2","Named species (Rattus exulans)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus exulans","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"24","8.1.2","Named species (Rattus rattus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus rattus","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"25","8.1.2","Named species (Toxoplasma gondii)","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7","Toxoplasma gondii","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"26","8.2","Problematic native species/diseases (Buteo solitarius)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Buteo solitarius","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"27","8.2.2","Named species (Buteo solitarius)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Buteo solitarius","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"28","8.5","Viral/prion-induced diseases","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7",NA,"Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"29","8.5","Viral/prion-induced diseases (Toxoplasma gondii)","Future","Whole (>90%)","Slow, Significant Declines","Low Impact: 5","Toxoplasma gondii","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"30","8.5.2","Named species","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7",NA,"Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"31","8.5.2","Named species (Toxoplasma gondii)","Future","Whole (>90%)","Slow, Significant Declines","Low Impact: 5","Toxoplasma gondii","Corvus hawaiiensis",3474,6975,"Corvidae","Passeriformes","AVIBASE-2CDECD36",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22706052,6
"32","2.1","Annual & perennial non-timber crops","Past, Unlikely to Return","Whole (>90%)","No decline","Past Impact",NA,"Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"33","2.1.4","Scale Unknown/Unrecorded","Past, Unlikely to Return","Whole (>90%)","No decline","Past Impact",NA,"Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"34","2.3","Livestock farming & ranching","Past, Unlikely to Return","Majority (50-90%)","No decline","Past Impact",NA,"Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"35","2.3.2","Small-holder grazing, ranching or farming","Past, Unlikely to Return","Majority (50-90%)","No decline","Past Impact",NA,"Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"36","3.3","Renewable energy","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA,"Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"37","5.1","Hunting & trapping terrestrial animals","Past, Likely to Return","Whole (>90%)","Very Rapid Declines","Past Impact",NA,"Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"38","5.1.1","Intentional use (species is the target)","Past, Likely to Return","Whole (>90%)","Very Rapid Declines","Past Impact",NA,"Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"39","8.1","Invasive non-native/alien species/diseases (Apis mellifera ssp. scutellata)","Past, Likely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact","Apis mellifera ssp. scutellata","Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"40","8.1.2","Named species (Apis mellifera ssp. scutellata)","Past, Likely to Return","Whole (>90%)","Slow, Significant Declines","Past Impact","Apis mellifera ssp. scutellata","Cyanopsitta spixii",10153,4264,"Psittacidae","Psittaciformes","AVIBASE-FB8F32C3",19,9,3,7,6,33.3,31.4,15.2,30.4,21.8,277.4,104.8,175.5,37.4,351.5,200,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,22685533,6
"41","2.1","Annual & perennial non-timber crops","Past, Unlikely to Return","Whole (>90%)","No decline",NA,NA,"Mitu mitu",2270,135,"Cracidae","Galliformes","AVIBASE-333D3213",4,0,1,3,3,60.5,36.4,21.6,47.1,109.1,395.8,28,359,7.3,345,2850.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",NA,NA,NA,NA,NA,22678486,6
"42","2.1.4","Scale Unknown/Unrecorded","Past, Unlikely to Return","Whole (>90%)","No decline",NA,NA,"Mitu mitu",2270,135,"Cracidae","Galliformes","AVIBASE-333D3213",4,0,1,3,3,60.5,36.4,21.6,47.1,109.1,395.8,28,359,7.3,345,2850.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",NA,NA,NA,NA,NA,22678486,6
"43","5.1","Hunting & trapping terrestrial animals","Past, Unlikely to Return","Whole (>90%)","No decline",NA,NA,"Mitu mitu",2270,135,"Cracidae","Galliformes","AVIBASE-333D3213",4,0,1,3,3,60.5,36.4,21.6,47.1,109.1,395.8,28,359,7.3,345,2850.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",NA,NA,NA,NA,NA,22678486,6
"44","5.1.1","Intentional use (species is the target)","Past, Unlikely to Return","Whole (>90%)","No decline",NA,NA,"Mitu mitu",2270,135,"Cracidae","Galliformes","AVIBASE-333D3213",4,0,1,3,3,60.5,36.4,21.6,47.1,109.1,395.8,28,359,7.3,345,2850.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Frugivore","Terrestrial",NA,NA,NA,NA,NA,22678486,6
"45","8.1","Invasive non-native/alien species/diseases (Boiga irregularis)","Past, Unlikely to Return","Whole (>90%)","Rapid Declines","Past Impact","Boiga irregularis","Todiramphus cinnamominus",1954,3493,"Alcedinidae","Coraciiformes","AVIBASE-4D9CF8EC",1,0,1,0,1,44.4,36.1,13.3,11.7,16.8,94,19,75,20.2,70,62.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,22725862,6
"46","8.1","Invasive non-native/alien species/diseases (Felis catus)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Felis catus","Todiramphus cinnamominus",1954,3493,"Alcedinidae","Coraciiformes","AVIBASE-4D9CF8EC",1,0,1,0,1,44.4,36.1,13.3,11.7,16.8,94,19,75,20.2,70,62.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,22725862,6
"47","8.1.2","Named species (Boiga irregularis)","Past, Unlikely to Return","Whole (>90%)","Rapid Declines","Past Impact","Boiga irregularis","Todiramphus cinnamominus",1954,3493,"Alcedinidae","Coraciiformes","AVIBASE-4D9CF8EC",1,0,1,0,1,44.4,36.1,13.3,11.7,16.8,94,19,75,20.2,70,62.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,22725862,6
"48","8.1.2","Named species (Felis catus)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Felis catus","Todiramphus cinnamominus",1954,3493,"Alcedinidae","Coraciiformes","AVIBASE-4D9CF8EC",1,0,1,0,1,44.4,36.1,13.3,11.7,16.8,94,19,75,20.2,70,62.2,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",NA,NA,NA,NA,NA,22725862,6
"49","5.1","Hunting & trapping terrestrial animals","Past, Unlikely to Return","Whole (>90%)","Rapid Declines","Past Impact",NA,"Zenaida graysoni",1845,718,"Columbidae","Columbiformes","AVIBASE-5428D897",3,2,1,0,2,22.4,11.6,4.3,4.2,29,147,38.8,108.2,26.4,134,192,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Generalist",NA,NA,NA,NA,NA,22690740,6
"50","5.1.1","Intentional use (species is the target)","Past, Unlikely to Return","Whole (>90%)","Rapid Declines","Past Impact",NA,"Zenaida graysoni",1845,718,"Columbidae","Columbiformes","AVIBASE-5428D897",3,2,1,0,2,22.4,11.6,4.3,4.2,29,147,38.8,108.2,26.4,134,192,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Generalist",NA,NA,NA,NA,NA,22690740,6
"51","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7","Felis catus","Zenaida graysoni",1845,718,"Columbidae","Columbiformes","AVIBASE-5428D897",3,2,1,0,2,22.4,11.6,4.3,4.2,29,147,38.8,108.2,26.4,134,192,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Generalist",NA,NA,NA,NA,NA,22690740,6
"52","8.1","Invasive non-native/alien species/diseases (Ovis aries)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Ovis aries","Zenaida graysoni",1845,718,"Columbidae","Columbiformes","AVIBASE-5428D897",3,2,1,0,2,22.4,11.6,4.3,4.2,29,147,38.8,108.2,26.4,134,192,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Generalist",NA,NA,NA,NA,NA,22690740,6
"53","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7","Felis catus","Zenaida graysoni",1845,718,"Columbidae","Columbiformes","AVIBASE-5428D897",3,2,1,0,2,22.4,11.6,4.3,4.2,29,147,38.8,108.2,26.4,134,192,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Generalist",NA,NA,NA,NA,NA,22690740,6
"54","8.1.2","Named species (Ovis aries)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Ovis aries","Zenaida graysoni",1845,718,"Columbidae","Columbiformes","AVIBASE-5428D897",3,2,1,0,2,22.4,11.6,4.3,4.2,29,147,38.8,108.2,26.4,134,192,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Generalist",NA,NA,NA,NA,NA,22690740,6
"55","8.2","Problematic native species/diseases (Schistocerca piceifrons)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Schistocerca piceifrons","Zenaida graysoni",1845,718,"Columbidae","Columbiformes","AVIBASE-5428D897",3,2,1,0,2,22.4,11.6,4.3,4.2,29,147,38.8,108.2,26.4,134,192,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Generalist",NA,NA,NA,NA,NA,22690740,6
"56","8.2.2","Named species (Schistocerca piceifrons)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Schistocerca piceifrons","Zenaida graysoni",1845,718,"Columbidae","Columbiformes","AVIBASE-5428D897",3,2,1,0,2,22.4,11.6,4.3,4.2,29,147,38.8,108.2,26.4,134,192,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Generalist",NA,NA,NA,NA,NA,22690740,6
