"","Sequence","species","English.name","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","wing.lcentr","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","category.n","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","threatened","hits"
"11",1551,"Calothorax lucifer","Lucifer Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-AB658C2D",5,1,3,1,4,23.5,17.8,1.6,1.6,4.1,-0.458885778,39.3,24.8,14.6,63,27.2,3.3,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Nectarivore","Aerial",19.12,32.47,25.07,-104.23,338277.72,22688185,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.702048225,0.281095295,-0.30728718,2,1.739492024,-0.415577273,0,16.3693693693694
"12",1552,"Calothorax pulcher","Beautiful Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-B569CB1E",5,2,3,0,4,21.4,16.4,1.3,1.6,3.9,-0.470643342,37.1,23.2,14.2,62.1,27.4,2.7,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Nectarivore","Aerial",16.31,18.69,17.53,-98,52857.18,22688189,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.902718921,-1.575178361,NA,NA,1.688146382,-0.426246949,0,35.6441441441441
"13",1555,"Mellisuga minima","Vervain Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-84644567",4,1,0,3,4,11.2,8.6,1.3,1.1,3.5,-0.474918819,36.3,23.3,12.9,64.3,19.2,2.4,"Dunning",NA,"NO",NA,NA,"Human Modified",2,1,"Herbivore","Nectarivore","Aerial",17.61,20.09,18.81,-72.05,86168.43,22688229,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.020501957,-1.086468051,-0.30728718,2,1.877016852,-0.386999476,0,4.03603603603604
"14",1556,"Mellisuga helenae","Bee Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-2AA5F01C",4,0,4,0,3,12.2,8.6,1,1,3,-0.51820803,28.2,17.8,10.5,62.9,17,2.2,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Nectarivore","Aerial",19.83,23.19,21.61,-79.01,108875.85,22688214,2,1,0,0,0,0,1,0,0,0,0,0,0,-3.107513334,-0.852563678,-0.30728718,2,2.066192538,-0.34768858,0,11.4414414414414
"15",1557,"Calypte anna","Anna's Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-42393721",5,2,3,0,3,20.6,15.7,1.6,1.7,4.6,-0.407045612,49,32.1,16.9,65.6,30,4.2,"Dunning",NA,"NO",NA,NA,"Woodland",2,2,"Herbivore","Nectarivore","Aerial",28.86,49.69,37.61,-118.56,493015.73,22688199,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.460886169,0.65776916,-0.30728718,2,2.079680549,-0.344885757,0,12.7072072072072
"16",1558,"Calypte costae","Costa's Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-145F1116",5,2,3,0,4,19.2,15.8,1.6,1.6,4.4,-0.430026304,44.7,29,15.2,65.7,23.6,3.1,"Dunning",NA,"NO",NA,NA,"Shrubland",2,3,"Herbivore","Nectarivore","Aerial",22.87,38.5,31.8,-113.63,563636,22688202,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.764568582,0.791636733,-0.30728718,2,2.093650257,-0.341982838,0,9.48198198198198
"17",1559,"Archilochus alexandri","Black-chinned Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-4BB4F257",4,2,2,0,4,21.6,17.2,1.4,1.6,3.9,-0.442318302,42.4,27.4,15,64.4,24.5,3.4,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Herbivore","Nectarivore","Aerial",25.5,50.68,36.81,-111.12,2369566.67,22688196,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.672195262,2.227690457,-0.30728718,2,2.449862119,-0.267961657,0,11.0315315315315
"18",1560,"Archilochus colubris","Ruby-throated Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-DEC3D8D0",11,4,6,1,4,20.7,15.1,1.8,1.9,3.4,-0.451403692,40.7,27.6,14.7,65,24.3,3.1,"Dunning",NA,"NO",NA,NA,"Woodland",2,3,"Omnivore","Nectarivore","Generalist",25.86,54.77,41.87,-87.72,4936988.47,22688193,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.764568582,2.961738882,-0.30728718,2,2.160837318,-0.3280213,0,16.7882882882883
"19",1561,"Selasphorus platycercus","Broad-tailed Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-AFBD5A5F",5,2,3,0,4,21.1,17,2.1,1.6,4.6,-0.407045612,49,31.4,16.8,65.2,32.4,3.5,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Nectarivore","Aerial",14.08,44.92,32.39,-107.32,696942.12,22688293,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.643207725,1.003930445,-0.30728718,2,2.592795163,-0.238260028,0,7.27927927927928
"20",1562,"Selasphorus calliope","Calliope Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-5816834E",5,2,3,0,4,17.8,14.5,2.1,1.5,4.4,-0.447662649,41.4,26.9,14.9,64.3,22,2.6,"Dunning",NA,"NO",NA,NA,"Shrubland",2,3,"Herbivore","Nectarivore","Aerial",31.87,54.33,45.51,-117.24,1203358.97,22688232,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.940459249,1.550100147,-0.30728718,2,1.947960776,-0.372257258,0,18.7657657657658
"21",1563,"Selasphorus rufus","Rufous Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-1E1B6D19",5,2,3,0,4,20.4,15.4,1.6,1.7,2.5,-0.451403692,40.7,28.2,13.9,67,29.8,3.5,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Nectarivore","Aerial",41.87,61.63,51.14,-123.62,1526769.21,22688296,2,0,0,0,0,0,1,0,0,0,0,1,0,-2.643207725,1.788137234,-0.30728718,2,2.128899918,-0.334657923,0,11.7342342342342
"22",1564,"Selasphorus sasin","Allen's Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-C25794D5",5,2,3,0,4,20.2,16.2,1.9,1.9,4.7,-0.453006996,40.4,26.2,15.1,63.4,25.8,3.4,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Nectarivore","Aerial",32.8,43.97,37.98,-122.28,31435.32,22688299,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.672195262,-2.094839819,-0.305941932,2.005,1.968304783,-0.368029753,0,5.09009009009009
"23",1565,"Selasphorus flammula","Volcano Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-BBA56D2E",5,2,3,0,4,14.5,11.5,1.6,1.5,3.9,-0.454075866,40.2,27,13.8,66.2,28.8,2.7,"Dunning",NA,"NO",NA,NA,"Grassland",2,1,"Herbivore","Nectarivore","Aerial",8.76,10.26,9.45,-83.38,4598.21,22688302,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.902718921,-4.017104823,-0.30728718,2,1.871550921,-0.388135302,0,7.72972972972973
"24",1568,"Atthis heloisa","Bumblebee Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-FDB8FCFF",4,2,2,0,4,14.7,10.9,1.3,1.3,4.1,-0.485073079,34.4,22.9,11.5,66.5,21,2.2,"Dunning",NA,"NO",NA,NA,"Forest",2,2,"Herbivore","Nectarivore","Aerial",15.84,27.19,20.61,-101.59,247558.03,22688235,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.107513334,-0.031126901,NA,NA,1.58706353,-0.447252066,0,18.3693693693694
"25",1569,"Atthis ellioti","Wine-throated Hummingbird","Trochilidae","Caprimulgiformes","AVIBASE-A5C2B7FB",4,2,2,0,4,14.8,11,1.1,1.2,4.1,-0.487210817,34,22.6,11.4,66.4,19,2.9,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Nectarivore","Aerial",13.72,17.41,15.2,-90.13,94985.18,22688238,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.831259957,-0.989051041,NA,NA,1.74065356,-0.415335904,0,2.66216216216216
"26",1570,"Opisthocomus hoazin","Hoatzin","Opisthocomidae","Opisthocomiformes","AVIBASE-7E83A1B3",6,2,1,3,4,32.6,15.7,10.2,13.7,51.3,1.051961131,322,47.7,275.3,14.8,290.7,696,"Dunning",NA,"NO",NA,NA,"Riverine",2,1,"Herbivore","Herbivore terrestrial","Insessorial",-18.23,10.49,-3.65,-61.99,7559878.74,22684428,1,0,0,0,0,0,0,0,0,0,0,0,0,2.649378966,3.387838509,-0.038237683,3,6.232173582,0.518006444,0,23.6306306306306
"27",1571,"Crotophaga major","Greater Ani","Cuculidae","Cuculiformes","AVIBASE-0DD11B75",10,3,4,3,8,47.2,32.8,13.7,21.5,41,0.365746971,193.6,46,147.8,23.7,252.2,148.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Insessorial",-31.98,12.46,-8.14,-57.45,12117795.17,22684431,1,0,0,0,0,0,0,0,0,0,0,0,0,1.103266555,3.859658406,-0.186214906,2.45,4.072937691,0.069315068,0,9.96846846846847
"28",1572,"Crotophaga ani","Smooth-billed Ani","Cuculidae","Cuculiformes","AVIBASE-469BC7B8",22,9,7,6,8,30.6,18.4,9.9,21.1,35.8,0.100667357,144,35.5,107.3,24.8,180.6,110.1,"Dunning",NA,"NO",NA,NA,"Human Modified",3,1,"Carnivore","Omnivore","Insessorial",-33.47,28.67,-8.83,-58.65,14110810.9,22684434,1,0,0,0,0,0,0,0,0,0,0,0,0,0.80541835,4.011924593,0.271169238,4.15,4.226881546,0.101304755,0,3.13963963963964
"29",1573,"Crotophaga sulcirostris","Groove-billed Ani","Cuculidae","Cuculiformes","AVIBASE-C5B34740",15,5,4,6,4,26.9,17.7,9.5,16.5,33.8,0.022105456,129.3,24.8,103,19.3,162.7,82,"Dunning",NA,"NO",NA,NA,"Human Modified",3,1,"Carnivore","Invertivore","Terrestrial",-23.6,30.19,12.58,-85.96,2696933.46,22684438,1,0,0,0,0,0,0,0,0,0,0,0,0,0.510748553,2.357098731,0.174311419,3.79,3.192426485,-0.11365604,0,3.07657657657658
"30",1574,"Guira guira","Guira Cuckoo","Cuculidae","Cuculiformes","AVIBASE-E565F8E6",12,5,5,2,8,30.7,18.9,7.5,11.5,36.4,0.25886003,173.6,43.2,130.5,24.9,213.8,141,"Dunning",NA,"NO",NA,NA,"Human Modified",3,1,"Carnivore","Invertivore","Terrestrial",-44.28,1.57,-20.34,-53.68,8027232.35,22684441,1,0,0,0,0,0,0,0,0,0,0,0,0,1.052789196,3.447823163,1.374272173,8.25,3.929930012,0.03959793,0,5.03603603603604
"31",1575,"Tapera naevia","Striped Cuckoo","Cuculidae","Cuculiformes","AVIBASE-505739E9",12,4,7,1,8,19.8,12.4,5.1,7.2,28,-0.10241783,106,24.1,81.3,22.8,146.8,48.4,"Dunning",NA,"NO",NA,NA,"Human Modified",3,1,"Carnivore","Invertivore","Generalist",-34.98,19.79,-8.55,-58.6,12346242.13,22684444,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.01647088,3.878335094,NA,NA,3.164090109,-0.119544367,0,10.3558558558559
"32",1576,"Dromococcyx phasianellus","Pheasant Cuckoo","Cuculidae","Cuculiformes","AVIBASE-D3951510",10,4,4,2,9,26.6,16.2,5.5,5.5,31.4,0.201141082,162.8,41.7,120.6,25.7,216.4,84.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-29.82,21.62,-9.54,-57.15,9600099.1,22684452,1,0,0,0,0,0,0,0,0,0,0,0,0,0.54078084,3.62675678,NA,NA,3.885578066,0.030381551,0,9.98648648648649
"33",1579,"Geococcyx velox","Lesser Roadrunner","Cuculidae","Cuculiformes","AVIBASE-531820DD",5,2,3,0,4,42.8,24.9,8.7,10.8,47.7,0.088375359,141.7,9.3,133.8,6.5,269.3,179.9,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",12.65,27.93,18.34,-96.96,517104.33,22684461,1,0,0,0,0,0,0,0,0,0,0,0,0,1.296430447,0.705472733,-0.199667381,2.4,3.399957598,-0.070530867,0,3.85585585585586
"34",1580,"Geococcyx californianus","Greater Roadrunner","Cuculidae","Cuculiformes","AVIBASE-DB5DABCF",5,3,2,0,4,57.8,35.4,10.1,12.5,59.5,0.298408198,181,12,172,6.5,287.4,376,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",18.36,40.65,30.77,-104.36,3008009.53,22684458,1,0,0,0,0,0,0,0,0,0,0,0,0,2.033618449,2.466261933,0.230811813,4,3.216720014,-0.10860782,0,9.63513513513514
"35",1593,"Coua cristata","Crested Coua","Cuculidae","Cuculiformes","AVIBASE-0DCD5C40",5,2,3,0,4,25.7,13,6.9,9.4,39.3,0.057912581,136,8.4,128.3,6.2,194.3,147,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-25.2,-11.95,-17.8,47.21,271871.29,22725453,1,0,0,0,0,0,0,0,0,0,0,0,0,1.094461893,0.062556835,-0.30728718,2,4.831624781,0.226971004,0,6.36036036036036
"36",1596,"Coua caerulea","Blue Coua","Cuculidae","Cuculiformes","AVIBASE-B569EDF7",4,2,2,0,4,29.8,15.5,7.9,10.1,57.3,0.377504534,195.8,9.7,186.1,5,244.9,244,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-25.19,-12.76,-18.91,47.61,333697.61,22684188,1,0,0,0,0,0,0,0,0,0,0,0,0,1.601197531,0.267463303,-0.576336676,1,6.073604627,0.485055657,0,3.78828828828829
"37",1598,"Carpococcyx viridis","Sumatran Ground-cuckoo","Cuculidae","Cuculiformes","AVIBASE-64A8C1C5",4,1,2,1,0,41.9,37.2,12.1,19.5,70.6,0.459807479,211.2,16.2,240.8,6.2,259.8,495.7,"Inferred",NA,"YES","Beak Nares; Beak Width; Beak Depth; Kipp's Distance; Secondary1; Hand-Wing Index; Body Mass","Carpococcyx radiceus","Forest",1,1,"Carnivore","Invertivore","Terrestrial",-5.45,-0.53,-2.9,102.27,25182.19,22724459,5,1,0,0,0,0,1,0,0,0,0,0,0,2.310000211,-2.316634922,NA,NA,5.831570908,0.434760808,1,1.32432432432432
"38",1605,"Centropus chlororhynchos","Green-billed Coucal","Cuculidae","Cuculiformes","AVIBASE-F1F1A913",5,2,3,0,4,42.4,26.9,8.1,16.4,46.3,0.213967515,165.2,13.2,150.8,8.1,241.2,244.4,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Generalist",5.92,7.41,6.7,80.31,12120.28,22684257,3,1,1,0,0,0,1,0,1,0,0,0,0,1.602835533,-3.047891838,-0.199667381,2.4,4.338947043,0.124592078,1,2.59459459459459
"39",1617,"Centropus sinensis","Greater Coucal","Cuculidae","Cuculiformes","AVIBASE-F5F991AC",9,4,5,0,8,46.6,29.3,9.9,16.3,55.6,0.466220695,212.4,30.9,181.9,14.6,260.9,280.7,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Vertivore","Terrestrial",-8.85,33.58,18,93.56,7931391.58,22684229,1,0,0,0,0,0,0,0,0,0,0,0,0,1.741315789,3.435811862,-0.065142633,2.9,4.654333604,0.19012972,0,18.8288288288288
"40",1621,"Centropus grillii","Black Coucal","Cuculidae","Cuculiformes","AVIBASE-DB09507D",4,2,2,0,4,26.2,12.9,6.3,10.9,39.5,0.185108041,159.8,33.5,126.2,21,167.5,122.9,"Dunning",NA,"NO",NA,NA,"Grassland",2,2,"Carnivore","Invertivore","Terrestrial",-29.47,14.22,-2.78,21.2,8530549.35,22684249,1,0,0,0,0,0,0,0,0,0,0,0,0,0.915400323,3.50863712,0.230811813,4,3.14256169,-0.124017994,0,19.7477477477477
"41",1622,"Centropus viridis","Philippine Coucal","Cuculidae","Cuculiformes","AVIBASE-AA694535",5,2,3,0,4,29.9,17,8.2,12.9,40.8,0.202209951,163,24.5,140.8,14.8,239.8,142,"Dunning",NA,"NO",NA,NA,"Grassland",2,1,"Carnivore","Invertivore","Terrestrial",5.56,20.49,11.87,123.11,273885.38,22684240,1,0,0,0,0,0,0,0,0,0,0,0,0,1.059856364,0.069937777,-0.038237683,3,3.645047729,-0.019600893,0,5.53603603603604
"42",1623,"Centropus bengalensis","Lesser Coucal","Cuculidae","Cuculiformes","AVIBASE-FD7D022A",14,1,2,11,4,28.2,15.7,6.6,11,39.3,0.157317436,154.6,29.6,129.6,18.6,185.2,148.9,"Dunning",NA,"NO",NA,NA,"Grassland",2,1,"Carnivore","Invertivore","Terrestrial",-10.94,33.04,14.75,105.79,6030216.39,22684254,1,0,0,0,0,0,0,0,0,0,0,0,0,1.107304246,3.161766254,-0.092047583,2.8,3.865028793,0.026111392,0,10.2882882882883
"43",1626,"Centropus phasianinus","Pheasant Coucal","Cuculidae","Cuculiformes","AVIBASE-598BC113",5,3,2,0,4,38.4,21.8,11.1,16.9,54.4,0.660754927,248.8,29.2,219.8,11.8,346.2,382,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",-36.26,-1.47,-17.66,138.76,2665520.2,22684209,1,0,0,0,0,0,0,0,0,0,0,0,0,2.049449915,2.345382594,0.136644489,3.65,4.505134203,0.159125935,0,22.7072072072072
"44",1631,"Taccocua leschenaultii","Sirkeer Malkoha","Cuculidae","Cuculiformes","AVIBASE-4D3AFA75",6,2,3,1,4,31.6,16.4,6.8,11.4,39.5,0.202209951,163,18.7,147.8,11.2,240.1,174.7,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Invertivore","Terrestrial",5.92,33.38,21.32,78.27,2612647.66,22684104,1,0,0,0,0,0,0,0,0,0,0,0,0,1.267099523,2.325347495,NA,NA,4.747196521,0.209426727,0,12.3693693693694
"45",1637,"Phaenicophaeus tristis","Green-billed Malkoha","Cuculidae","Cuculiformes","AVIBASE-147BEFCD",6,2,4,0,4,35.6,22.3,9.4,12.6,32.8,0.216639688,165.7,27,141,16,333.3,117,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-7.01,30.69,18.67,98.34,4373319.66,22684098,1,0,0,0,0,0,0,0,0,0,0,0,0,0.866203241,2.840505727,-0.038237683,3,4.095738821,0.074053166,0,5.31531531531532
"46",1643,"Clamator jacobinus","Jacobin Cuckoo","Cuculidae","Cuculiformes","AVIBASE-BF0A0954",6,3,3,0,4,24.7,15.6,6.8,7.9,28.7,0.107080574,145.2,50.6,92.9,35.2,160.8,79.4,"Dunning",NA,"NO",NA,NA,"Grassland",2,3,"Carnivore","Invertivore","Insessorial",-34.84,34.34,3,38.05,16118043.62,22683800,1,0,0,0,0,0,0,0,0,0,0,0,0,0.478527674,4.144922725,0.096287065,3.5,3.195911605,-0.112931829,0,8.92792792792793
"47",1646,"Clamator glandarius","Great Spotted Cuckoo","Cuculidae","Cuculiformes","AVIBASE-3D67C56A",5,2,2,1,4,29.8,18.7,8.1,8.4,33.4,0.367884709,194,80.9,112.1,41.9,197.2,143,"Dunning",NA,"NO",NA,NA,"Shrubland",2,3,"Carnivore","Invertivore","Insessorial",-34.05,44.27,1.44,21.23,13672737.21,22683819,1,0,0,0,0,0,0,0,0,0,0,0,0,1.066873936,3.980387224,0.44605141,4.8,2.385921289,-0.281248626,0,5.83783783783784
"48",1647,"Coccycua minuta","Little Cuckoo","Cuculidae","Cuculiformes","AVIBASE-07DD8007",10,2,3,5,8,23.5,14.2,5.4,6.5,24.7,-0.102952265,105.9,15.4,90,14.6,147.9,39.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-20.89,11.98,-4.4,-62.28,8754206.58,22684379,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.224746175,3.534517695,-0.30728718,2,3.502935475,-0.049131962,0,17.9684684684685
"49",1653,"Coccyzus americanus","Yellow-billed Cuckoo","Cuculidae","Cuculiformes","AVIBASE-0CF12F81",12,3,7,2,4,29.2,20,7,8.2,24.5,0.097460749,143.4,62.4,82.6,43,146.3,64,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Invertivore","Insessorial",-14.02,48.99,36.04,-90.96,5270361.03,22684331,1,0,0,0,0,0,0,0,0,0,0,1,0,0.262912389,3.027082225,0.029024691,3.25,2.532871766,-0.25071217,0,11.3918918918919
"50",1655,"Coccyzus minor","Mangrove Cuckoo","Cuculidae","Cuculiformes","AVIBASE-84F096F7",13,6,5,2,8,31.3,20.6,6.8,9.1,28.1,0.052568234,135,43,92.5,31.7,155.3,63.9,"Dunning",NA,"NO",NA,NA,"Woodland",2,2,"Carnivore","Invertivore","Insessorial",-2.92,28.42,14.86,-79.81,1105292.18,22684337,1,0,0,0,0,0,0,0,0,0,0,0,0,0.261348667,1.465093075,-0.172762432,2.5,3.030901654,-0.147221061,0,5.2027027027027
