"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"22","Setophaga palmarum","Palm Warbler",10616,"Parulidae","Passeriformes","AVIBASE-4AAEF549",11,4,6,1,4,12.9,7.1,2.8,3.1,19.1,63.7,12.7,50.4,20.1,51,10.3,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",42.85,65.15,53.46,-93.54,3394685.27,22721731,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2213529,-2.169655176,-0.390754029,1.475110547,4.5,2.012091168,-4.809882647,14.6756756756757
"23","Lonchura oryzivora","Java Sparrow",9859,"Estrildidae","Passeriformes","AVIBASE-549BEA0C",5,2,3,0,4,15.8,11.9,8.7,10.1,18.3,68.7,15.5,53.4,22.5,50.3,24.8,"Dunning",NA,"NO",NA,NA,1,3,1,"Herbivore","Granivore","Generalist",-8.85,-6.4,-7.57,111.44,99641.61,22719912,4,1,0,1,1,0,0,1,0,0,1,0,0,0,0.69296642,-1.290955418,-0.370233707,1.9616111,4.95,2.021077325,-4.794387009,22.4504504504505
"24","Stipiturus mallee","Mallee Emu-wren",5953,"Maluridae","Passeriformes","AVIBASE-9723DB2C",4,1,3,0,4,10.1,5.5,2.3,2.5,15,38.9,3.5,35.3,9.1,83,5.5,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Invertivore","Insessorial",-36.08,-34.44,-35.43,141.25,20050.54,22703776,4,1,1,0,1,0,0,0,0,1,1,0,1,0,-0.910357345,-2.797050979,-0.492534826,-0.146557964,3,2.021328713,-4.793953518,1.77477477477477
"25","Crithagra scotops","Forest Canary",10170,"Fringillidae","Passeriformes","AVIBASE-994D87C2",5,2,3,0,4,12.9,8.2,5.5,7.1,16,69,14.2,54.6,20.6,54.4,14.2,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",-34.35,-22.59,-30.26,27.9,184665.55,22720113,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.30993292,-1.848557106,-0.369002488,-0.254669198,2.9,2.030438059,-4.778245455,14.5675675675676
"26","Orthotomus chaktomuk","Cambodian Tailorbird",7528,"Cisticolidae","Passeriformes","AVIBASE-95A9CD5E",0,0,0,0,0,15.2,10,2.7,2.5,17.3,42.9,4.5,38.4,10.5,35.1,7.1,"Updated_literature","Dunning (2021)","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Orthotomus atrogularis",0,1,1,"Carnivore","Invertivore","Insessorial",11.03,12.45,11.74,105.04,4922.53,103778254,2,0,1,0,1,0,0,0,0,1,0,0,0,0,-2.314790805,-2.541704287,-0.476118569,NA,NA,2.032553545,-4.774597532,1.12612612612613
"27","Zosterops chloronothos","Mauritius Olive White-eye",8175,"Zosteropidae","Passeriformes","AVIBASE-094FE346",4,0,1,3,4,15,8,2.7,2.6,17.6,52.4,10.6,41.8,20.3,33.2,8.1,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Nectarivore","Insessorial",-20.48,-20.39,-20.44,57.48,61.77,22714005,5,1,1,1,0,0,0,1,0,0,0,0,1,0,-6.6929509,-2.409935009,-0.437129957,NA,NA,2.033541328,-4.772894209,2.53153153153153
"28","Crex crex","Corncrake",1811,"Rallidae","Gruiformes","AVIBASE-7E257242",5,2,3,0,4,24.2,10.2,3.5,6.4,40.5,137,46.4,89.6,34.1,51.2,154.9,"Dunning",NA,"NO",NA,NA,0,2,3,"Carnivore","Omnivore","Terrestrial",38.84,66.5,53.88,60.58,12516028.75,22692543,1,0,1,1,0,0,1,1,1,1,0,0,1,0,5.52615197,0.540980676,-0.089926108,7.421228419,10,2.035985627,-4.768679285,34.1081081081081
"29","Poephila cincta","Black-throated Finch",9873,"Estrildidae","Passeriformes","AVIBASE-72840F17",10,5,5,0,4,11.3,7.7,5.9,6.6,15.1,59,13.9,43.9,24.1,37.3,14.9,"Dunning",NA,"NO",NA,NA,0,2,2,"Herbivore","Granivore","Terrestrial",-23.16,-12.34,-18.25,144.15,495909.79,22719692,1,0,1,1,0,0,0,1,0,1,0,0,0,0,2.2977806,-1.800437858,-0.410043132,1.745388632,4.75,2.036851999,-4.767185322,4.13063063063063
"30","Passerculus henslowii","Henslow's Sparrow",10439,"Passerellidae","Passeriformes","AVIBASE-CDA2F827",9,4,5,0,8,13.6,8.4,4.4,6.8,16.7,54.7,8.5,45.8,15.6,49.9,12.8,"Dunning",NA,"NO",NA,NA,0,3,2,"Omnivore","Omnivore","Generalist",35.17,45.94,40.85,-87.72,1306487.74,22721138,1,0,1,0,1,0,1,0,0,1,1,0,0,0,3.26648427,-1.9523539,-0.427690609,NA,NA,2.04219075,-4.757979234,3.5045045045045
"31","Emberiza rustica","Rustic Bunting",10288,"Emberizidae","Passeriformes","AVIBASE-DA9746CE",13,6,7,0,4,12.1,7.7,4,5.4,20.5,78.4,19.8,58.6,25.2,62.8,20.5,"Dunning",NA,"NO",NA,NA,0,2,3,"Herbivore","Granivore","Generalist",49.03,70.99,61.42,100.29,11090010.05,22720960,3,1,1,0,0,0,0,1,0,1,0,0,0,0,5.40518656,-1.481374185,-0.330424282,1.594032904,4.61,2.054755055,-4.736313474,15.5900900900901
"32","Anthus rubescens","Buff-bellied Pipit",9961,"Motacillidae","Passeriformes","AVIBASE-8F268682",5,2,3,0,4,14.5,9.4,3.1,3.1,21.2,85,24.1,60.9,28.4,67.6,20.7,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Terrestrial",31.22,76.17,61.56,13.05,12413847.38,22718575,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.51795442,-1.471665371,-0.303337457,1.907555483,4.9,2.058400577,-4.730027172,3.40990990990991
"33","Porzana porzana","Spotted Crake",1835,"Rallidae","Gruiformes","AVIBASE-460708F9",8,4,4,0,4,19.8,10.4,2.5,5,28.7,112.9,39,73.9,34.5,45,87.1,"Dunning",NA,"NO",NA,NA,0,1,3,"Omnivore","Aquatic predator","Terrestrial",24.02,65.92,54.44,55.52,10691863.17,22692676,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5.36862485,-0.034742187,-0.18883406,7.961784589,10.5,2.060876036,-4.725758516,9.29279279279279
"34","Phylloscopus borealis","Arctic Warbler",7977,"Phylloscopidae","Passeriformes","AVIBASE-ECFC7E6C",10,5,5,0,4,13.5,8.8,3.1,3.1,17.9,66.2,17,48.9,25.8,47,10.9,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",42.93,72.08,61.57,94.32,13315320.46,103845882,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.58805713,-2.113036282,-0.380493868,3.04272344,5.95,2.064107876,-4.720185564,5.94144144144144
"35","Mellisuga helenae","Bee Hummingbird",1556,"Trochilidae","Caprimulgiformes","AVIBASE-2AA5F01C",4,0,4,0,3,12.2,8.6,1,1,3,28.2,17.8,10.5,62.9,17,2.2,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Aerial",19.83,23.19,21.61,-79.01,108875.85,22688214,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.78159481,-3.713341711,-0.536448315,-1.227670305,2,2.066192538,-4.716590794,11.4414414414414
"36","Pardalotus quadragintus","Forty-spotted Pardalote",6163,"Pardalotidae","Passeriformes","AVIBASE-EAB686DF",11,5,5,1,4,7.6,4,3.1,3.9,17.4,57.8,14.7,42.6,25.7,32.3,10.7,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-43.45,-40.03,-42.62,147.54,473.96,22704493,4,1,1,1,1,0,0,1,0,1,0,0,1,0,-4.65524578,-2.13155533,-0.414968009,0.826443142,3.9,2.070913924,-4.708449284,2.81081081081081
"37","Vermivora chrysoptera","Golden-winged Warbler",10567,"Parulidae","Passeriformes","AVIBASE-83F326C8",21,11,8,2,4,14.6,9,3.2,3.5,17.9,60.6,15.6,44.9,25.9,44.9,8.7,"Dunning",NA,"NO",NA,NA,0,2,3,"Carnivore","Invertivore","Insessorial",34.73,49.47,43.32,-82.67,946202.7,22721618,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2.94384339,-2.338476045,-0.403476629,1.475110547,4.5,2.07904359,-4.69443057,15.3153153153153
"38","Leiothlypis celata","Orange-crowned Warbler",10575,"Parulidae","Passeriformes","AVIBASE-FFF61080",4,1,3,0,4,11.8,7.8,3.8,4,18.4,59.9,13.8,46,23,46.5,9.2,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",30.58,68.99,54.4,-116.99,7482895.14,22721624,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.01176162,-2.282595587,-0.406349474,1.475110547,4.5,2.079755232,-4.693203422,9.25675675675676
"39","Setophaga striata","Blackpoll Warbler",10614,"Parulidae","Passeriformes","AVIBASE-544A5E6B",10,4,5,1,4,13.9,8.7,3.6,3.4,19.5,74.3,23.2,51.1,31.3,50.4,11.8,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",41.42,68.98,58.99,-110.59,6353206.91,22721737,2,0,0,0,0,1,0,0,0,0,0,0,1,0,4.84810156,-2.03369954,-0.347250946,1.475110547,4.5,2.083837971,-4.686163188,13.490990990991
"40","Emberiza aureola","Yellow-breasted Bunting",10287,"Emberizidae","Passeriformes","AVIBASE-7574C0E5",14,6,8,0,4,13.2,8.4,4.2,5.9,20.5,75.3,19.4,55.9,25.8,55.4,19.6,"Dunning",NA,"NO",NA,NA,0,2,3,"Omnivore","Omnivore","Generalist",39.76,71.28,58.85,103.13,14850268.01,22720966,5,1,1,0,0,0,0,1,0,0,1,0,0,0,5.69715976,-1.526269505,-0.343146882,0.934554376,4,2.096299556,-4.664674558,3.04504504504505
"41","Stagonopleura bella","Beautiful Firetail",9861,"Estrildidae","Passeriformes","AVIBASE-82ABFD7F",8,4,4,0,4,12.3,8.7,6.2,7,17.2,57.2,11,46.9,19,48.5,14,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Generalist",-43.64,-32.59,-37.81,145.82,276741.26,22719654,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.71446956,-1.862741741,-0.417430448,1.475110547,4.5,2.10301327,-4.653097497,2.27927927927928
"42","Saxicola torquatus","Common Stonechat",9319,"Muscicapidae","Passeriformes","AVIBASE-F5463F0D",58,28,30,0,16,15.3,7.9,3.5,3.4,21.9,67.3,14,53.3,20.8,48.3,14.1,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Invertivore","Insessorial",-34.84,69.66,42.7,78.19,32655980.34,22710184,1,0,1,0,0,0,0,0,1,1,0,0,1,0,6.48516985,-1.855624274,-0.375979397,2.188644691,5.16,2.112982391,-4.635906846,9.93693693693694
"43","Emberiza cineracea","Cinereous Bunting",10265,"Emberizidae","Passeriformes","AVIBASE-7C5AC300",4,2,2,0,4,13.9,8.2,4.4,5.9,19.9,91,21.8,69.2,24,67.8,24.3,"Dunning",NA,"NO",NA,NA,0,3,3,"Omnivore","Omnivore","Terrestrial",35.22,39.48,37.47,39.61,105439.34,22720912,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0.74952238,-1.311322721,-0.278713071,1.691333015,4.7,2.114728109,-4.632896548,4.79279279279279
"44","Spizella breweri","Brewer's Sparrow",10301,"Passerellidae","Passeriformes","AVIBASE-29967541",6,2,4,0,5,12.3,6.7,3.6,4.4,16.8,62.8,12.9,50.1,20.5,57.3,10.9,"Dunning",NA,"NO",NA,NA,0,2,3,"Omnivore","Omnivore","Generalist",33.57,63.27,45.74,-115.39,3238311.53,22734705,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.17419391,-2.113036282,-0.394447687,-0.060068977,3.08,2.117613195,-4.627921535,8.8963963963964
"45","Setophaga magnolia","Magnolia Warbler",10609,"Parulidae","Passeriformes","AVIBASE-1E82CE1E",24,10,8,6,5,12.1,7.1,3.1,3.1,18.2,58.4,12.6,46.9,21.1,46.5,8.1,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Invertivore","Insessorial",38.23,64.04,52.19,-95.33,3661483.1,22721667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.29701013,-2.409935009,-0.41250557,0.934554376,4,2.125301481,-4.614663933,15.972972972973
"46","Selasphorus rufus","Rufous Hummingbird",1563,"Trochilidae","Caprimulgiformes","AVIBASE-1E1B6D19",5,2,3,0,4,20.4,15.4,1.6,1.7,2.5,40.7,28.2,13.9,67,29.8,3.5,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Aerial",41.87,61.63,51.14,-123.62,1526769.21,22688296,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3.42229572,-3.249036103,-0.48514751,-1.227670305,2,2.128899918,-4.608458824,11.7342342342342
"47","Dicaeum quadricolor","Cebu Flowerpecker",9429,"Dicaeidae","Passeriformes","AVIBASE-8BDE79BB",1,0,0,1,1,9.7,6,4.1,4.1,14.5,52,8.9,43.1,17.1,25.5,8.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",9.64,10.51,9.85,123.51,117.27,22717507,5,1,1,1,1,1,1,1,0,0,0,0,1,0,-6.051889742,-2.361732908,-0.438771583,NA,NA,2.129884491,-4.606761037,6.58108108108108
"48","Epthianura crocea","Yellow Chat",6095,"Meliphagidae","Passeriformes","AVIBASE-AC1DDE03",12,4,8,0,4,13.2,7.7,2.6,2.7,17.7,59.1,9.9,47.7,17.1,38.4,9.3,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Generalist",-30.24,-11.99,-21.11,135.58,2179684.97,22704481,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.77832221,-2.271784671,-0.409632725,-0.146557964,3,2.130540209,-4.605630323,29.2342342342342
"49","Estrilda thomensis","Cinderella Waxbill",9783,"Estrildidae","Passeriformes","AVIBASE-3161DF72",3,2,1,0,3,9.6,6.7,4.4,5,13.9,51.6,7.4,44.2,14.4,50.3,7.6,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Insessorial",-17.56,-9.34,-14.49,13.78,87604.65,22719528,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0.56422065,-2.473650824,-0.440413208,0.393998206,3.5,2.134480744,-4.598835305,5.18018018018018
"50","Cisticola juncidis","Zitting Cisticola",7484,"Cisticolidae","Passeriformes","AVIBASE-AEE2063F",21,9,12,0,4,12.1,6.8,2.3,2.6,17.7,48.9,6.7,42.8,13.5,40.3,6.8,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Generalist",-34.84,51.09,10.73,63.11,18929166.75,22713491,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.93984579,-2.584876459,-0.451494182,0.610220674,3.7,2.162368163,-4.550746522,11.2342342342342
"51","Stagonopleura guttata","Diamond Firetail",9863,"Estrildidae","Passeriformes","AVIBASE-00AF5DA1",11,5,6,0,4,10.6,8.1,6.1,6.4,16.2,66,17.9,48.8,26.9,39.5,17.6,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Terrestrial",-39.14,-23.36,-32,146.31,1457198.69,22719660,1,0,1,1,0,0,0,1,0,1,0,0,0,0,3.37565774,-1.633900169,-0.381314681,29.20564208,30.15,2.167662961,-4.541616226,11.2837837837838
