"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"17","Loddigesia mirabilis","Marvelous Spatuletail",1357,"Trochilidae","Caprimulgiformes","AVIBASE-7969608C",5,2,3,0,3,19.3,14.1,1.3,1.4,4.7,42,28.4,13.9,67.2,92.2,3,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Insessorial",-6.8,-5.8,-6.37,-77.76,1772.9,22688130,4,1,1,0,0,0,0,1,0,0,0,0,0,0,-3.335996807,-3.403186782,-0.479812227,NA,NA,1.796897326,-5.180960724,0
"18","Poodytes caudatus","Snares Fernbird",7645,"Locustellidae","Passeriformes","AVIBASE-462CF36B",0,0,0,0,0,17.5,9.6,3.5,4.3,22.4,68.2,8.7,59.6,12.7,75,25.2,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Poodytes punctatus",0,2,1,"Carnivore","Invertivore","Generalist",-48.02,-48,-48.01,166.56,2.58,103798418,3,1,0,1,0,0,0,0,0,0,0,0,0,0,-9.868579311,-1.274955076,-0.372285739,NA,NA,1.805254589,-5.166549545,0
"19","Setophaga flavescens","Bahama Warbler",10622,"Parulidae","Passeriformes","AVIBASE-25333CB5",5,1,3,1,1,15.8,12.3,3.1,3.3,16.3,65,15.9,49.1,24.5,50.4,9,"Updated_literature","Dunning (2021)","NO",NA,NA,0,2,3,"Carnivore","Invertivore","Insessorial",25.85,26.95,26.5,-77.77,2587.72,22724802,4,1,0,1,1,0,0,1,1,1,0,0,1,0,-2.957836252,-2.304574494,-0.385418745,0.934554376,4,1.813356324,-5.152578995,3.234234234
"20","Lonchura vana","Grey-banded Mannikin",9845,"Estrildidae","Passeriformes","AVIBASE-D6BEA296",1,0,1,0,1,9.5,6.7,5.8,6.9,10.9,49,7.8,41.2,15.9,36,13.3,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Generalist",-1.4,-0.64,-0.69,132.87,29.06,22719861,3,1,1,0,0,0,0,0,0,0,0,0,1,0,-7.447006052,-1.914035036,-0.451083776,NA,NA,1.819505376,-5.141975632,0
"21","Thalurania ridgwayi","Mexican Woodnymph",1455,"Trochilidae","Caprimulgiformes","AVIBASE-E5800BE4",4,1,3,0,4,20.8,17.4,2.8,2.3,4.8,55.8,36.5,19.2,65.5,35.8,3.8,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Aerial",18.93,21.68,20.07,-104.6,14528.86,22687383,3,1,1,0,0,0,0,0,0,0,0,0,0,0,-1.232476415,-3.166798004,-0.423176138,-1.227670305,2,1.81956751,-5.141868489,0
"22","Augastes scutatus","Hyacinth Visorbearer",1250,"Trochilidae","Caprimulgiformes","AVIBASE-443B3BC2",5,2,3,0,4,18.2,13.7,1.6,1.7,4.5,53.4,34.6,18.4,65.3,32.6,3,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Aerial",-20.86,-15,-17.85,-43.4,28653.28,22688090,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.55334551,-3.403186782,-0.433025892,NA,NA,1.833509731,-5.117826665,0
"23","Lophornis chalybeus","Festive Coquette",1297,"Trochilidae","Caprimulgiformes","AVIBASE-32949A7C",4,2,2,0,4,16.3,12.1,1.6,1.6,4.5,42.2,26.7,15.5,63.4,24.8,3,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Aerial",-28.34,-19.26,-22.78,-44.46,182459.44,22726682,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1.29791447,-3.403186782,-0.478991414,-1.227670305,2,1.833509731,-5.117826665,0
"24","Zosterops mysorensis","Biak White-eye",8228,"Zosteropidae","Passeriformes","AVIBASE-AABD6DAF",1,0,0,1,1,10.4,7.4,4.1,3.6,17.4,59,15.7,43.3,26.6,37.5,15,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Omnivore","Invertivore","Insessorial",-1.2,-0.63,-0.92,135.87,2311.92,22714140,2,0,1,0,0,0,0,1,0,1,0,0,0,0,-3.070535083,-1.79374887,-0.410043132,NA,NA,1.837037874,-5.111742771,0
"25","Goethalsia bella","Pirre Hummingbird",1512,"Trochilidae","Caprimulgiformes","AVIBASE-1AA6F28B",4,0,4,0,3,20.2,16.1,2.1,2.8,5.1,51.4,33.8,17.8,65.7,33.1,3.4,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Aerial",7.41,8.08,7.76,-77.84,1893.25,22687464,2,0,0,0,0,0,1,0,0,0,0,0,1,0,-3.270318502,-3.278023639,-0.441234021,NA,NA,1.83807087,-5.109961483,0
"26","Anthus gustavi","Pechora Pipit",9956,"Motacillidae","Passeriformes","AVIBASE-9DC4CC54",5,2,3,0,4,15.4,9,3.4,3.7,22.2,80.5,25,54.9,31.3,57.3,19.8,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Invertivore","Terrestrial",42.07,72.71,65.91,119.79,4257344.47,22718553,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.44778745,-1.516117133,-0.321805747,1.907555483,4.9,1.84169564,-5.103710966,3.878378378
"27","Eulidia yarrellii","Chilean Woodstar",1534,"Trochilidae","Caprimulgiformes","AVIBASE-5A1EC393",5,2,3,0,4,14.6,10.5,1.3,1,3.7,32.9,20.5,13.1,61,28.2,2.5,"Updated_literature","BoW","NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Aerial",-20.09,-18.01,-18.43,-70,2154.61,22688244,5,1,1,1,0,0,0,0,0,0,1,0,0,0,-3.141003698,-3.585508339,-0.517159213,NA,NA,1.843616096,-5.100399351,0
"28","Neochmia ruficauda","Star Finch",9869,"Estrildidae","Passeriformes","AVIBASE-FC54497E",9,4,5,0,4,11.6,8.2,5.5,6.4,13.9,50.9,10.7,39.5,21.3,43.6,11.1,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Terrestrial",-26.85,-10.69,-17.7,127.54,1106611.4,22719673,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3.1004444,-2.094853963,-0.443286053,1.583221781,4.6,1.84588585,-5.096485411,19.28828829
"29","Zosterops rotensis","Rota White-eye",8235,"Zosteropidae","Passeriformes","AVIBASE-C46489FF",1,1,0,0,1,11.8,6.4,2.5,2.7,17.5,51,9.7,41.3,19,38,10,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Omnivore","Invertivore","Insessorial",14.13,14.15,14.14,145.19,8.18,22714047,5,1,1,1,1,0,0,0,0,0,1,0,1,0,-8.714676559,-2.199213978,-0.442875647,NA,NA,1.848837809,-5.091395082,0
"30","Certhia tianquanensis","Sichuan Treecreeper",8527,"Certhiidae","Passeriformes","AVIBASE-5304F5C0",4,1,3,0,4,17.8,11.3,2.8,2.7,13.7,64.5,11.2,53.4,17.3,66.5,9,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Invertivore","Insessorial",28.73,34.05,31.05,103.35,38536.44,22731107,1,0,0,0,0,0,0,1,1,1,0,0,1,0,-0.25700914,-2.304574494,-0.387470778,NA,NA,1.850380049,-5.088735659,0
"31","Chloebia gouldiae","Gouldian Finch",9888,"Estrildidae","Passeriformes","AVIBASE-886A8AB7",9,5,4,0,4,11.5,8.5,6.9,7.2,14.9,64.2,19.5,44.6,30.4,46.2,13.8,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Generalist",-18.38,-12.45,-15.85,128.89,101027.63,22719744,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0.70678061,-1.877130479,-0.388701997,NA,NA,1.854098279,-5.082323981,36.73423423
"32","Zosterops meeki","Tagula White-eye",8227,"Zosteropidae","Passeriformes","AVIBASE-11AF29B9",2,1,1,0,2,13.2,7.3,3,3.5,16.1,57.8,10.3,47.4,17.9,42.5,9,"EltonTraits_Model",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",-11.66,-11.32,-11.51,153.47,813.98,22714131,2,0,1,0,0,1,1,1,0,0,0,0,1,0,-4.114432914,-2.304574494,-0.414968009,NA,NA,1.858603446,-5.074555317,0
"33","Zosterops rennellianus","Rennell White-eye",8260,"Zosteropidae","Passeriformes","AVIBASE-2B007EF1",4,2,2,0,4,15.6,9.1,3.3,3.8,19.4,61.4,9.5,51.9,15.4,48.2,14.5,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Omnivore","Invertivore","Insessorial",-11.88,-11.46,-11.68,160.31,669.69,22714172,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-4.309553791,-1.827650422,-0.400193377,NA,NA,1.862032865,-5.068641662,0
"34","Zosterops murphyi","Kolombangara White-eye",8246,"Zosteropidae","Passeriformes","AVIBASE-80532212",4,2,2,0,4,17.6,10.4,3.6,3.8,19.3,66,15.1,51,22.8,44.5,10.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Omnivore","Invertivore","Insessorial",-8,-7.9,-7.96,157.07,111.58,22714196,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-6.101626888,-2.14094507,-0.381314681,NA,NA,1.867524168,-5.059172515,0
"35","Metallura iracunda","Perija Metaltail",1333,"Trochilidae","Caprimulgiformes","AVIBASE-5A77A647",5,2,3,0,5,14.4,11.1,0.9,1,5.6,58.1,37.3,20.8,64.1,41,3.9,"Updated_literature","BoW","NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Aerial",9.61,10.63,10.19,-72.91,1650.98,22688018,4,1,1,0,1,1,0,0,0,0,0,0,1,0,-3.40724438,-3.140822518,-0.41373679,NA,NA,1.874317132,-5.047458797,0
"36","Zosterops nehrkorni","Sangihe White-eye",8207,"Zosteropidae","Passeriformes","AVIBASE-73789C73",1,0,1,0,1,12.1,7.8,2.9,3,16.9,56.4,9.1,47.3,16.1,43.9,10,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",3.48,3.54,3.51,125.54,15.25,22728605,5,1,1,0,0,0,0,1,0,0,0,0,1,0,-8.091789207,-2.199213978,-0.420713699,NA,NA,1.874570076,-5.047022622,0
"37","Zosterops explorator","Fiji White-eye",8224,"Zosteropidae","Passeriformes","AVIBASE-DFC89B28",5,2,3,0,4,14.9,8.6,2.9,3.2,18.1,60.2,12.4,48.8,20.3,39.2,10.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",-19.17,-16.15,-17.45,178.42,16653.45,22714238,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.095996029,-2.150423814,-0.405118254,NA,NA,1.874743604,-5.046723393,0
"38","Linaria yemenensis","Yemen Linnet",10204,"Fringillidae","Passeriformes","AVIBASE-FFC77162",4,2,2,0,4,10.4,6.3,5.2,6.3,15.3,72.4,19,53.4,26.1,53.8,14.3,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Granivore","Terrestrial",13.63,21.5,16.65,43.79,79054.22,22720450,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.46152052,-1.841539534,-0.355048669,NA,NA,1.87610239,-5.044380316,0
"39","Phylloscopus tytleri","Tytler's Leaf-warbler",7946,"Phylloscopidae","Passeriformes","AVIBASE-EA9942E7",5,2,3,0,4,12.4,6.6,2.3,2.2,17.5,58.1,10.4,47,18.1,42.2,7.2,"Dunning",NA,"NO",NA,NA,0,2,3,"Carnivore","Invertivore","Insessorial",31.6,36.54,34.53,73.68,213284.08,22715339,2,0,1,0,0,0,1,1,0,1,0,0,0,0,1.45401156,-2.527718045,-0.41373679,1.475110547,4.5,1.877252677,-5.042396773,0
"40","Linaria johannis","Warsangli Linnet",10205,"Fringillidae","Passeriformes","AVIBASE-3E8BDBBA",4,2,2,0,4,10.3,7.7,5.8,7,14.4,73.6,17.6,56,23.9,51.5,13.4,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Generalist",10.56,11.04,10.83,47.73,2340.98,22720457,2,0,1,0,0,0,0,1,0,0,0,0,1,0,-3.058043786,-1.906544364,-0.350123791,NA,NA,1.878531862,-5.040190959,2.585585586
"41","Orthotomus samarensis","Yellow-breasted Tailorbird",7532,"Cisticolidae","Passeriformes","AVIBASE-E669B7A2",3,0,3,0,3,16.5,10.6,3,2.8,21,42,3.1,38.9,7.4,41.7,8.9,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Insessorial",9.56,12.67,11.28,124.92,18296.84,22715006,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-1.001885064,-2.315747794,-0.479812227,NA,NA,1.88631526,-5.026769346,0
"42","Crithagra citrinipectus","Lemon-breasted Canary",10178,"Fringillidae","Passeriformes","AVIBASE-238953D9",7,3,1,3,7,9.4,6.8,5.6,6.4,13.5,61.8,15,46.8,24.2,38.3,11.2,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Terrestrial",-28.35,-15.47,-22.45,33.36,48205.89,22720176,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.03313222,-2.085885293,-0.398551751,0.393998206,3.5,1.887065385,-5.025475838,0
"43","Polioptila lactea","Creamy-bellied Gnatcatcher",8579,"Polioptilidae","Passeriformes","AVIBASE-CB41276B",4,2,2,0,4,12,7.4,2.4,2.3,16,44.8,5.1,39.6,11.4,44.8,6.5,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",-29.87,-21.76,-25.76,-52.39,441184.79,22711605,2,0,1,0,1,1,1,0,0,0,0,0,0,0,2.18085038,-2.629996894,-0.468320846,NA,NA,1.893314661,-5.01469965,0
"44","Troglodytes sissonii","Socorro Wren",8606,"Troglodytidae","Passeriformes","AVIBASE-5AB5707F",6,2,3,1,5,18.5,11.3,2.7,3,19.4,46.7,6.4,40.2,13.8,47.2,7.8,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Invertivore","Insessorial",18.69,18.85,18.77,-110.98,135.11,22711380,2,0,0,1,0,0,0,0,0,0,0,0,0,0,-5.910279449,-2.447675337,-0.460523124,NA,NA,1.893406111,-5.014541955,0
"45","Zapornia parva","Little Crake",1841,"Rallidae","Gruiformes","AVIBASE-9106EBE6",8,4,4,0,4,19.4,11.1,2.4,4.7,28.6,100.9,43.8,55.8,44,52.9,49.7,"Dunning",NA,"NO",NA,NA,0,1,3,"Carnivore","Aquatic predator","Terrestrial",35.65,63.76,50.9,51.02,6785055.74,22692663,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4.91386436,-0.595794138,-0.238082833,NA,NA,1.895361542,-5.01117003,5.842342342
"46","Aethopyga duyvenbodei","Elegant Sunbird",9588,"Nectariniidae","Passeriformes","AVIBASE-E7057C1D",5,2,3,0,4,20.6,14.4,3.7,3.3,16.3,53.1,9.9,42.2,19,35.8,6,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",3.38,3.74,3.56,125.54,556.53,22718068,4,1,1,0,0,0,0,1,0,0,0,0,0,0,-4.494647632,-2.710039602,-0.434257112,NA,NA,1.899053931,-5.004802911,0
"47","Zosterops finschii","Dusky White-eye",8232,"Zosteropidae","Passeriformes","AVIBASE-5DA925D4",4,2,2,0,4,17,10,3.3,3.4,20.6,65.6,11.4,54.2,17.4,44,10.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,2,1,"Herbivore","Frugivore","Insessorial",6.97,7.73,7.46,134.54,445.06,22714261,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.718159605,-2.14094507,-0.382956307,NA,NA,1.905270435,-4.994083235,0
"48","Zosterops vellalavella","Vella Lavella White-eye",8217,"Zosteropidae","Passeriformes","AVIBASE-C8D045DD",2,0,2,0,2,15.7,9.2,3.2,3.6,17,61.5,8.1,53.5,13.1,43.8,10.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",-7.96,-7.57,-7.74,156.63,673.74,22714176,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-4.30352443,-2.14094507,-0.399782971,NA,NA,1.906065011,-4.992713076,0
"49","Zosterops splendidus","Ranongga White-eye",8244,"Zosteropidae","Passeriformes","AVIBASE-0AAB8320",2,1,1,0,2,15.1,9.1,3.2,3.5,17.3,60.5,10.1,50.5,16.6,41.5,10.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",-8.18,-7.94,-8.06,156.56,145.07,22714180,3,1,1,0,0,0,0,1,0,0,0,0,0,0,-5.839152325,-2.14094507,-0.403887035,NA,NA,1.906923757,-4.991232263,0
"50","Goldmania violiceps","Violet-capped Hummingbird",1513,"Trochilidae","Caprimulgiformes","AVIBASE-2CF120F2",4,2,2,0,3,21.7,19,2.7,2.1,3.7,49.5,32.5,16.9,65.8,28,4.1,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Nectarivore","Aerial",7.89,9.52,8.68,-78.17,2852.72,22687461,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.860340506,-3.090812097,-0.449031744,NA,NA,1.906968137,-4.991155735,0
"51","Zosterops luteirostris","Gizo White-eye",8242,"Zosteropidae","Passeriformes","AVIBASE-AF7F8395",3,1,2,0,3,14.9,9.1,3.6,3.6,17.1,60,7.7,52.3,12.8,43.3,10.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,1,1,"Omnivore","Omnivore","Insessorial",-8.11,-8.04,-8.07,156.8,35.16,22714185,4,1,1,0,0,0,0,1,0,0,0,0,1,0,-7.256459637,-2.14094507,-0.405939067,NA,NA,1.906971827,-4.991149372,0
"52","Heliangelus regalis","Royal Sunangel",1283,"Trochilidae","Caprimulgiformes","AVIBASE-80D6D83B",4,2,2,0,3,18.4,14.1,1.8,1.8,5.4,51.8,33.3,18.5,64.3,43.4,3.6,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Nectarivore","Aerial",-7.6,-4.12,-5.61,-78.05,3514.44,22687901,4,1,1,0,0,1,0,0,0,0,0,0,0,0,-2.651733236,-3.220865226,-0.439592395,-1.227670305,2,1.907195483,-4.990763702,0
