"","location","hits","keyword","geo","gprop"
"261","Argentina",NA,"Rhea americana","world","web"
"262","Armenia",NA,"Rhea americana","world","web"
"263","American Samoa",NA,"Rhea americana","world","web"
"264","Antarctica",NA,"Rhea americana","world","web"
"265","French Southern Territories",NA,"Rhea americana","world","web"
"266","Antigua & Barbuda",NA,"Rhea americana","world","web"
"267","Australia",NA,"Rhea americana","world","web"
"268","Austria",NA,"Rhea americana","world","web"
"269","Azerbaijan",NA,"Rhea americana","world","web"
"270","Burundi",NA,"Rhea americana","world","web"
"271","Belgium",NA,"Rhea americana","world","web"
"272","Benin",NA,"Rhea americana","world","web"
"273","Caribbean Netherlands",NA,"Rhea americana","world","web"
"274","Burkina Faso",NA,"Rhea americana","world","web"
"275","Bangladesh",NA,"Rhea americana","world","web"
"276","Bulgaria",NA,"Rhea americana","world","web"
"277","Bahrain",NA,"Rhea americana","world","web"
"278","Bahamas",NA,"Rhea americana","world","web"
"279","Bosnia & Herzegovina",NA,"Rhea americana","world","web"
"280","St. Barthélemy",NA,"Rhea americana","world","web"
"281","Belarus",NA,"Rhea americana","world","web"
"282","Belize",NA,"Rhea americana","world","web"
"283","Bermuda",NA,"Rhea americana","world","web"
"284","Bolivia",NA,"Rhea americana","world","web"
"285","Brazil",NA,"Rhea americana","world","web"
"286","Barbados",NA,"Rhea americana","world","web"
"287","Brunei",NA,"Rhea americana","world","web"
"288","Bhutan",NA,"Rhea americana","world","web"
"289","Bouvet Island",NA,"Rhea americana","world","web"
"290","Botswana",NA,"Rhea americana","world","web"
"291","Central African Republic",NA,"Rhea americana","world","web"
"292","Canada",NA,"Rhea americana","world","web"
"293","Cocos (Keeling) Islands",NA,"Rhea americana","world","web"
"294","Switzerland",NA,"Rhea americana","world","web"
"295","Chile",NA,"Rhea americana","world","web"
"296","China",NA,"Rhea americana","world","web"
"297","Côte d’Ivoire",NA,"Rhea americana","world","web"
"298","Cameroon",NA,"Rhea americana","world","web"
"299","Congo - Kinshasa",NA,"Rhea americana","world","web"
"300","Congo - Brazzaville",NA,"Rhea americana","world","web"
"301","Cook Islands",NA,"Rhea americana","world","web"
"302","Colombia",NA,"Rhea americana","world","web"
"303","Comoros",NA,"Rhea americana","world","web"
"304","Cape Verde",NA,"Rhea americana","world","web"
"305","Costa Rica",NA,"Rhea americana","world","web"
"306","Cuba",NA,"Rhea americana","world","web"
"307","Curaçao",NA,"Rhea americana","world","web"
"308","Christmas Island",NA,"Rhea americana","world","web"
"309","Cayman Islands",NA,"Rhea americana","world","web"
"310","Cyprus",NA,"Rhea americana","world","web"
"311","Czechia",NA,"Rhea americana","world","web"
"312","Germany",NA,"Rhea americana","world","web"
"313","Djibouti",NA,"Rhea americana","world","web"
"314","Dominica",NA,"Rhea americana","world","web"
"315","Denmark",NA,"Rhea americana","world","web"
"316","Dominican Republic",NA,"Rhea americana","world","web"
"317","Algeria",NA,"Rhea americana","world","web"
"318","Ecuador",NA,"Rhea americana","world","web"
"319","Egypt",NA,"Rhea americana","world","web"
"320","Eritrea",NA,"Rhea americana","world","web"
"321","Western Sahara",NA,"Rhea americana","world","web"
"322","Spain",NA,"Rhea americana","world","web"
"323","Estonia",NA,"Rhea americana","world","web"
"324","Ethiopia",NA,"Rhea americana","world","web"
"325","Finland",NA,"Rhea americana","world","web"
"326","Fiji",NA,"Rhea americana","world","web"
"327","Falkland Islands (Islas Malvinas)",NA,"Rhea americana","world","web"
"328","France",NA,"Rhea americana","world","web"
"329","Faroe Islands",NA,"Rhea americana","world","web"
"330","Micronesia",NA,"Rhea americana","world","web"
"331","Gabon",NA,"Rhea americana","world","web"
"332","United Kingdom",NA,"Rhea americana","world","web"
"333","Georgia",NA,"Rhea americana","world","web"
"334","Guernsey",NA,"Rhea americana","world","web"
"335","Ghana",NA,"Rhea americana","world","web"
"336","Gibraltar",NA,"Rhea americana","world","web"
"337","Guinea",NA,"Rhea americana","world","web"
"338","Guadeloupe",NA,"Rhea americana","world","web"
"339","Gambia",NA,"Rhea americana","world","web"
"340","Guinea-Bissau",NA,"Rhea americana","world","web"
"341","Equatorial Guinea",NA,"Rhea americana","world","web"
"342","Greece",NA,"Rhea americana","world","web"
"343","Grenada",NA,"Rhea americana","world","web"
"344","Greenland",NA,"Rhea americana","world","web"
"345","Guatemala",NA,"Rhea americana","world","web"
"346","French Guiana",NA,"Rhea americana","world","web"
"347","Guam",NA,"Rhea americana","world","web"
"348","Guyana",NA,"Rhea americana","world","web"
"349","Hong Kong",NA,"Rhea americana","world","web"
"350","Heard & McDonald Islands",NA,"Rhea americana","world","web"
"351","Honduras",NA,"Rhea americana","world","web"
"352","Croatia",NA,"Rhea americana","world","web"
"353","Haiti",NA,"Rhea americana","world","web"
"354","Hungary",NA,"Rhea americana","world","web"
"355","Indonesia",NA,"Rhea americana","world","web"
"356","Isle of Man",NA,"Rhea americana","world","web"
"357","India",NA,"Rhea americana","world","web"
"358","British Indian Ocean Territory",NA,"Rhea americana","world","web"
"359","Ireland",NA,"Rhea americana","world","web"
"360","Iran",NA,"Rhea americana","world","web"
"361","Iraq",NA,"Rhea americana","world","web"
"362","Iceland",NA,"Rhea americana","world","web"
"363","Israel",NA,"Rhea americana","world","web"
"364","Italy",NA,"Rhea americana","world","web"
"365","Jamaica",NA,"Rhea americana","world","web"
"366","Jersey",NA,"Rhea americana","world","web"
"367","Jordan",NA,"Rhea americana","world","web"
"368","Japan",NA,"Rhea americana","world","web"
"369","Kazakhstan",NA,"Rhea americana","world","web"
"370","Kenya",NA,"Rhea americana","world","web"
"371","Kyrgyzstan",NA,"Rhea americana","world","web"
"372","Cambodia",NA,"Rhea americana","world","web"
"373","Kiribati",NA,"Rhea americana","world","web"
"374","St. Kitts & Nevis",NA,"Rhea americana","world","web"
"375","South Korea",NA,"Rhea americana","world","web"
"376","Kuwait",NA,"Rhea americana","world","web"
"377","Laos",NA,"Rhea americana","world","web"
"378","Lebanon",NA,"Rhea americana","world","web"
"379","Liberia",NA,"Rhea americana","world","web"
"380","Libya",NA,"Rhea americana","world","web"
"381","St. Lucia",NA,"Rhea americana","world","web"
"382","Liechtenstein",NA,"Rhea americana","world","web"
"383","Sri Lanka",NA,"Rhea americana","world","web"
"384","Lesotho",NA,"Rhea americana","world","web"
"385","Lithuania",NA,"Rhea americana","world","web"
"386","Luxembourg",NA,"Rhea americana","world","web"
"387","Latvia",NA,"Rhea americana","world","web"
"388","Macao",NA,"Rhea americana","world","web"
"389","St. Martin",NA,"Rhea americana","world","web"
"390","Morocco",NA,"Rhea americana","world","web"
"391","Monaco",NA,"Rhea americana","world","web"
"392","Moldova",NA,"Rhea americana","world","web"
"393","Madagascar",NA,"Rhea americana","world","web"
"394","Maldives",NA,"Rhea americana","world","web"
"395","Mexico",NA,"Rhea americana","world","web"
"396","Marshall Islands",NA,"Rhea americana","world","web"
"397","North Macedonia",NA,"Rhea americana","world","web"
"398","Mali",NA,"Rhea americana","world","web"
"399","Malta",NA,"Rhea americana","world","web"
"400","Myanmar (Burma)",NA,"Rhea americana","world","web"
"401","Montenegro",NA,"Rhea americana","world","web"
"402","Mongolia",NA,"Rhea americana","world","web"
"403","Northern Mariana Islands",NA,"Rhea americana","world","web"
"404","Mozambique",NA,"Rhea americana","world","web"
"405","Mauritania",NA,"Rhea americana","world","web"
"406","Montserrat",NA,"Rhea americana","world","web"
"407","Martinique",NA,"Rhea americana","world","web"
"408","Mauritius",NA,"Rhea americana","world","web"
"409","Malawi",NA,"Rhea americana","world","web"
"410","Malaysia",NA,"Rhea americana","world","web"
"411","Mayotte",NA,"Rhea americana","world","web"
"412","Namibia",NA,"Rhea americana","world","web"
"413","New Caledonia",NA,"Rhea americana","world","web"
"414","Niger",NA,"Rhea americana","world","web"
"415","Norfolk Island",NA,"Rhea americana","world","web"
"416","Nigeria",NA,"Rhea americana","world","web"
"417","Nicaragua",NA,"Rhea americana","world","web"
"418","Niue",NA,"Rhea americana","world","web"
"419","Netherlands",NA,"Rhea americana","world","web"
"420","Norway",NA,"Rhea americana","world","web"
"421","Nepal",NA,"Rhea americana","world","web"
"422","Nauru",NA,"Rhea americana","world","web"
"423","New Zealand",NA,"Rhea americana","world","web"
"424","Oman",NA,"Rhea americana","world","web"
"425","Pakistan",NA,"Rhea americana","world","web"
"426","Panama",NA,"Rhea americana","world","web"
"427","Pitcairn Islands",NA,"Rhea americana","world","web"
"428","Peru",NA,"Rhea americana","world","web"
"429","Philippines",NA,"Rhea americana","world","web"
"430","Palau",NA,"Rhea americana","world","web"
"431","Papua New Guinea",NA,"Rhea americana","world","web"
"432","Poland",NA,"Rhea americana","world","web"
"433","Puerto Rico",NA,"Rhea americana","world","web"
"434","North Korea",NA,"Rhea americana","world","web"
"435","Portugal",NA,"Rhea americana","world","web"
"436","Paraguay",NA,"Rhea americana","world","web"
"437","Palestine",NA,"Rhea americana","world","web"
"438","French Polynesia",NA,"Rhea americana","world","web"
"439","Qatar",NA,"Rhea americana","world","web"
"440","Réunion",NA,"Rhea americana","world","web"
"441","Romania",NA,"Rhea americana","world","web"
"442","Russia",NA,"Rhea americana","world","web"
"443","Rwanda",NA,"Rhea americana","world","web"
"444","Saudi Arabia",NA,"Rhea americana","world","web"
"445","Sudan",NA,"Rhea americana","world","web"
"446","Senegal",NA,"Rhea americana","world","web"
"447","Singapore",NA,"Rhea americana","world","web"
"448","South Georgia & South Sandwich Islands",NA,"Rhea americana","world","web"
"449","St. Helena",NA,"Rhea americana","world","web"
"450","Svalbard & Jan Mayen",NA,"Rhea americana","world","web"
"451","Solomon Islands",NA,"Rhea americana","world","web"
"452","Sierra Leone",NA,"Rhea americana","world","web"
"453","El Salvador",NA,"Rhea americana","world","web"
"454","San Marino",NA,"Rhea americana","world","web"
"455","Somalia",NA,"Rhea americana","world","web"
"456","St. Pierre & Miquelon",NA,"Rhea americana","world","web"
"457","Serbia",NA,"Rhea americana","world","web"
"458","South Sudan",NA,"Rhea americana","world","web"
"459","São Tomé & Príncipe",NA,"Rhea americana","world","web"
"460","Suriname",NA,"Rhea americana","world","web"
"461","Slovakia",NA,"Rhea americana","world","web"
"462","Sweden",NA,"Rhea americana","world","web"
"463","Eswatini",NA,"Rhea americana","world","web"
"464","Sint Maarten",NA,"Rhea americana","world","web"
"465","Seychelles",NA,"Rhea americana","world","web"
"466","Syria",NA,"Rhea americana","world","web"
"467","Turks & Caicos Islands",NA,"Rhea americana","world","web"
"468","Chad",NA,"Rhea americana","world","web"
"469","Togo",NA,"Rhea americana","world","web"
"470","Thailand",NA,"Rhea americana","world","web"
"471","Tajikistan",NA,"Rhea americana","world","web"
"472","Tokelau",NA,"Rhea americana","world","web"
"473","Turkmenistan",NA,"Rhea americana","world","web"
"474","Timor-Leste",NA,"Rhea americana","world","web"
"475","Tonga",NA,"Rhea americana","world","web"
"476","Trinidad & Tobago",NA,"Rhea americana","world","web"
"477","Tunisia",NA,"Rhea americana","world","web"
"478","Turkey",NA,"Rhea americana","world","web"
"479","Tuvalu",NA,"Rhea americana","world","web"
"480","Taiwan",NA,"Rhea americana","world","web"
"481","Tanzania",NA,"Rhea americana","world","web"
"482","Uganda",NA,"Rhea americana","world","web"
"483","Ukraine",NA,"Rhea americana","world","web"
"484","U.S. Outlying Islands",NA,"Rhea americana","world","web"
"485","United States",NA,"Rhea americana","world","web"
"486","Uzbekistan",NA,"Rhea americana","world","web"
"487","Vatican City",NA,"Rhea americana","world","web"
"488","St. Vincent & Grenadines",NA,"Rhea americana","world","web"
"489","Venezuela",NA,"Rhea americana","world","web"
"490","British Virgin Islands",NA,"Rhea americana","world","web"
"491","U.S. Virgin Islands",NA,"Rhea americana","world","web"
"492","Vietnam",NA,"Rhea americana","world","web"
"493","Vanuatu",NA,"Rhea americana","world","web"
"494","Wallis & Futuna",NA,"Rhea americana","world","web"
"495","Samoa",NA,"Rhea americana","world","web"
"496","Kosovo",NA,"Rhea americana","world","web"
"497","Yemen",NA,"Rhea americana","world","web"
"498","South Africa",NA,"Rhea americana","world","web"
"499","Zambia",NA,"Rhea americana","world","web"
"500","Zimbabwe",NA,"Rhea americana","world","web"
"501","Peru",100,"Rhea pennata","world","web"
"502","United States",NA,"Rhea pennata","world","web"
"503","Aruba",NA,"Rhea pennata","world","web"
"504","Afghanistan",NA,"Rhea pennata","world","web"
"505","Angola",NA,"Rhea pennata","world","web"
"506","Anguilla",NA,"Rhea pennata","world","web"
"507","Åland Islands",NA,"Rhea pennata","world","web"
"508","Albania",NA,"Rhea pennata","world","web"
"509","Andorra",NA,"Rhea pennata","world","web"
"510","United Arab Emirates",NA,"Rhea pennata","world","web"
"511","Argentina",NA,"Rhea pennata","world","web"
