Sequence,species,English.name,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,wing.lcentr,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,result.taxonid,result.category,agriculture,invasive,residential,energy,transportation,resource_use,intrusion,nat_sys_modif,pollution,geological,climate_change,other,masscentr,rangecentr,clutchcentr,clutch.size,gen.length,genlcentr
11,Tinamus osgoodi,Black Tinamou,Tinamidae,Struthioniformes,AVIBASE-63C5F122,4,1,3,0,1,45.6,12.9,7.1,7.9,70.6,0.570969897,232,40.5,191.6,17.4,69.7,1285,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-13.91,7.15,-11.05,-72.42,28701.74,22678145,VU,1,0,0,1,0,1,0,0,0,0,0,0,3.262543303,-2.185814172,-0.30728718,2,8.159437279,0.918493766
12,Tinamus major,Great Tinamou,Tinamidae,Struthioniformes,AVIBASE-42D72AE1,6,1,2,3,4,38.5,11.4,5.2,5.9,64.4,0.619069021,241,51.3,193.1,20.9,83.2,1026.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-18.07,18.96,-1.53,-66.06,7672718.39,22678148,LC,1,0,0,1,1,1,0,0,0,0,0,0,3.037647245,3.40265433,0.230811813,4,5.839391169,0.436385866
13,Tinamus guttatus,White-throated Tinamou,Tinamidae,Struthioniformes,AVIBASE-0480B7C9,8,4,4,0,4,33.1,10.8,5,5.3,57.6,0.375366795,195.4,50.9,142.1,26.4,75.6,686.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-15.03,4.88,-5.63,-64.54,3971186.8,22678151,NT,1,0,0,0,0,1,0,0,0,0,0,0,2.635198437,2.744048351,0.634386058,5.5,4.684172075,0.196330184
14,Crypturellus berlepschi,Berlepsch's Tinamou,Tinamidae,Struthioniformes,AVIBASE-9B036853,5,2,1,2,4,27.9,10.5,5.3,6.5,53.4,0.210760906,164.6,38.1,126.5,23.3,54.2,516.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-0.44,7.33,3.4,-77.77,59534.34,22678163,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.351685259,-1.456218631,NA,NA,5.856328867,0.439905537
15,Crypturellus cinereus,Cinereous Tinamou,Tinamidae,Struthioniformes,AVIBASE-7C90F8DB,8,3,5,0,3,31,10.4,5.2,5.4,49.8,0.199003343,162.4,30.1,132,18.7,55.9,506.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-16.68,7.94,-3.75,-63.4,5924779.18,22678166,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.331751044,3.144126776,-0.30728718,2,6.164260205,0.503893977
16,Crypturellus ptaritepui,Tepui Tinamou,Tinamidae,Struthioniformes,AVIBASE-F5F9A63F,1,0,1,0,0,29.6,9,4.6,5.8,51.2,0.057912581,136,10,126,7.4,54.2,443.4,Inferred,NA,YES,Tail Length; Body Mass,Crypturellus obsoletus,Forest,1,1,Herbivore,Omnivore,Terrestrial,5.7,6.02,5.84,-62.19,403.76,22678172,LC,1,0,0,0,0,0,0,1,0,0,1,0,2.198501603,-6.449706557,NA,NA,5.480975945,0.361906825
17,Crypturellus soui,Little Tinamou,Tinamidae,Struthioniformes,AVIBASE-39DD9DD7,18,8,7,3,5,24.2,8,4.2,3.9,36.4,0.012485631,127.5,32.9,96.4,25.4,47.9,216.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-22.54,19.13,-4.47,-60.51,11151222.76,22678169,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.480233211,3.776532515,-0.30728718,2,5.081209652,0.278834989
18,Crypturellus obsoletus,Brown Tinamou,Tinamidae,Struthioniformes,AVIBASE-D624C373,13,6,6,1,2,30.9,11.1,5.4,4.5,45.9,0.18617691,160,35.8,124.4,22.4,54.2,443.4,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-33.84,11.35,-18.17,-56.76,1841826.27,22678176,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.198501603,1.975740976,0.365336561,4.5,4.812828802,0.223065181
19,Crypturellus undulatus,Undulated Tinamou,Tinamidae,Struthioniformes,AVIBASE-7A600A0F,7,1,6,0,4,34,12.4,6,5.8,48,0.252981248,172.5,35,137.8,20.3,56.6,564.4,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-27.8,8.4,-8.43,-59.56,8533511.59,22678182,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.439792526,3.508984311,0.365336561,4.5,4.771455533,0.214467774
20,Crypturellus strigulosus,Brazilian Tinamou,Tinamidae,Struthioniformes,AVIBASE-FE2B5A6B,7,3,3,1,5,32.3,11.6,5.3,5.3,46.4,0.190986822,160.9,30.1,130.7,18.7,47.9,430.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-15.65,-0.54,-8.79,-57.72,2589981.45,22678188,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.169208891,2.316634072,NA,NA,5.051806531,0.272724991
21,Crypturellus duidae,Grey-legged Tinamou,Tinamidae,Struthioniformes,AVIBASE-D2592D39,4,2,2,0,4,31.2,12.2,5.4,5.6,48.9,0.201675516,162.9,45.5,117.4,27.9,41.5,426,Dunning,NA,NO,NA,NA,Shrubland,1,1,Herbivore,Omnivore,Terrestrial,-4.01,6.38,1.17,-65.98,131826.56,22678213,LC,1,0,0,0,0,1,0,0,0,0,0,0,2.158468652,-0.661284801,NA,NA,5.572588155,0.380943933
22,Crypturellus erythropus,Red-legged Tinamou,Tinamidae,Struthioniformes,AVIBASE-4E03F38D,5,1,3,1,4,29,10.7,4.9,4.4,47,0.176557085,158.2,48.1,110.6,30.1,48.4,485,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Omnivore,Terrestrial,-1.46,11.65,5.09,-62.6,1242529.51,22729569,LC,1,0,0,0,0,1,0,0,0,0,0,0,2.288178197,1.582132588,NA,NA,5.828200564,0.434060447
23,Crypturellus noctivagus,Yellow-legged Tinamou,Tinamidae,Struthioniformes,AVIBASE-7507BE36,5,0,1,4,5,32.9,12.5,6.1,5.3,53.9,0.304821414,182.2,43.9,138.3,24.1,61.8,562,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-30.22,-7.13,-16.47,-43.19,1469564.58,22678217,NT,1,0,0,0,0,1,0,0,0,0,0,0,2.435531156,1.749949511,0.230811813,4,4.925242284,0.246424814
24,Crypturellus atrocapillus,Black-capped Tinamou,Tinamidae,Struthioniformes,AVIBASE-41631439,9,3,4,2,4,32.3,11.4,5.4,5,52.6,0.216639688,165.7,36.1,129.6,21.6,44.3,453,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-17.84,-11.86,-14.81,-67.39,120601.77,22678220,LC,1,0,0,0,0,1,0,0,0,0,0,0,2.219921432,-0.75027796,NA,NA,5.566383286,0.379654555
25,Crypturellus occidentalis,Western Thicket Tinamou,Tinamidae,Struthioniformes,AVIBASE-8A2D8FB6,4,2,2,0,4,28.9,11.7,5.7,5.3,43.2,0.218242992,166,40.1,125.9,24.1,39.7,422,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,17.1,25.41,20.85,-104.72,49818.85,61214775,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.14903462,-1.634378494,NA,NA,8.194641981,0.925809338
26,Crypturellus cinnamomeus,Eastern Thicket Tinamou,Tinamidae,Struthioniformes,AVIBASE-BC6EF580,5,2,3,0,4,26.6,10.7,5.3,4.9,45.2,0.168540565,156.7,35.6,122.3,22.5,49.2,422,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,9.55,24.88,18.39,-93.19,661411.76,61214753,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.14903462,0.95160466,0.365336561,4.5,5.681953406,0.403670142
27,Crypturellus transfasciatus,Pale-browed Tinamou,Tinamidae,Struthioniformes,AVIBASE-D303E7FF,5,2,2,1,4,26.7,10.8,5.1,4.8,46.4,0.133802309,150.2,36.5,115.2,24,45.6,283,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Omnivore,Terrestrial,-5.74,-0.18,-3,-80.41,41881.22,22678185,NT,1,0,0,0,0,1,0,0,0,0,0,0,1.749476204,-1.807934404,1.037960302,7,4.578910599,0.174456744
28,Crypturellus boucardi,Slaty-breasted Tinamou,Tinamidae,Struthioniformes,AVIBASE-5183B60E,5,1,1,3,4,28.9,10.9,5.2,4.8,50,0.212898645,165,41.4,123.6,25.1,49.2,435.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,9.86,18.87,15.51,-88.57,334426.96,22678191,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.180753697,0.26964658,0.768910806,6,4.795858713,0.219538779
29,Crypturellus kerriae,Choco Tinamou,Tinamidae,Struthioniformes,AVIBASE-2ED97B54,1,1,0,0,0,31.2,10.6,5.1,4.8,49.6,0.154645262,154.1,33.6,120.5,21.8,54.2,443.4,Inferred,NA,YES,Tail Length; Body Mass,Crypturellus obsoletus,Forest,1,1,Herbivore,Omnivore,Terrestrial,5.95,7.84,7.18,-77.66,6147.23,22678194,VU,1,0,1,1,1,1,0,0,0,0,0,0,2.198501603,-3.726770347,NA,NA,5.463903199,0.358359091
30,Crypturellus variegatus,Variegated Tinamou,Tinamidae,Struthioniformes,AVIBASE-F8BBC7A7,9,4,5,0,4,33.6,13.7,5.3,5,41.1,0.161592914,155.4,50.1,105.5,32.2,44.6,378,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-20.8,8.4,-3.02,-62.57,5436849.92,22678223,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.038923502,3.058183193,-0.576336676,1,6.478159022,0.569122464
31,Crypturellus brevirostris,Rusty Tinamou,Tinamidae,Struthioniformes,AVIBASE-45EE168A,5,2,3,0,4,24.5,9.2,4.9,5,43.9,0.071807883,138.6,26.1,112.5,18.8,48.2,221,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-8.16,5.54,-2.04,-61.95,833118.74,22678226,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.502192008,1.182404257,NA,NA,5.529284556,0.371945402
32,Crypturellus bartletti,Bartlett's Tinamou,Tinamidae,Struthioniformes,AVIBASE-88B9ABC1,8,2,3,3,6,25,8.9,4.7,4.7,40.7,0.055774842,135.6,36.1,99.5,26.7,40,241,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-17.37,0.04,-7.6,-69.83,1611496.6,22678229,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.58882624,1.842146671,-0.576336676,1,4.863465496,0.233587536
33,Crypturellus casiquiare,Barred Tinamou,Tinamidae,Struthioniformes,AVIBASE-26D1CE28,2,1,1,0,1,25,8.9,4.3,4.4,43.8,0.053637103,135.2,31.6,103.6,23.3,32.5,250,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-4.17,3.54,1.4,-69.81,86537.96,22678235,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.625490224,-1.082188759,NA,NA,5.537378548,0.373627342
34,Crypturellus parvirostris,Small-billed Tinamou,Tinamidae,Struthioniformes,AVIBASE-2988DEC6,14,7,5,2,4,19.3,9.5,4.3,4.2,25.7,-0.07516166,111.1,27,82.6,24.7,37.3,199,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Omnivore,Terrestrial,-28.61,-0.38,-13.2,-51.22,6659535.62,22678232,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.397334131,3.261033114,0.365336561,4.5,3.871354809,0.027425944
35,Crypturellus tataupa,Tataupa Tinamou,Tinamidae,Struthioniformes,AVIBASE-9C7F2C57,7,3,3,1,4,24.9,13.1,4.8,5.3,32.5,-0.009960626,123.3,25.8,97.6,21.1,49.4,218.8,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Omnivore,Terrestrial,-31.61,-2.35,-18.31,-51.51,4855861.2,22678238,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.492187377,2.945169829,0.365336561,4.5,4.051045551,0.06476586
36,Rhynchotus rufescens,Red-winged Tinamou,Tinamidae,Struthioniformes,AVIBASE-C141F60A,9,3,1,5,4,41.5,26.8,8.8,8.7,56.6,0.446981046,208.8,40,164,20,56.6,843.5,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Omnivore,Terrestrial,-41.17,-3.43,-20.65,-52.11,5674200.18,22733941,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.841589208,3.100912975,1.307009799,8,6.777827378,0.631393848
37,Rhynchotus maculicollis,Huayco Tinamou,Tinamidae,Struthioniformes,AVIBASE-94AF5DC7,6,2,1,3,5,46.3,27.4,9,9,55.9,0.464082956,212,51.7,159.7,24.4,77.2,843.5,Dunning,NA,NO,NA,NA,Shrubland,3,1,Herbivore,Omnivore,Terrestrial,-26.89,-15.16,-20.3,-65.4,113175.08,22733250,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.841589208,-0.81383592,1.307009799,8,6.350887059,0.542675223
38,Nothoprocta taczanowskii,Taczanowski's Tinamou,Tinamidae,Struthioniformes,AVIBASE-368EC295,4,0,4,0,2,43.6,27.3,9.7,9.1,48.6,0.298408198,181,42.6,135.4,23.8,67,619.3,Inferred,NA,YES,Body Mass,Nothoprocta ornata,Shrubland,2,1,Herbivore,Omnivore,Terrestrial,-15.01,-13,-13.82,-72.17,17724.05,22678246,VU,1,0,0,0,0,1,0,1,0,0,0,0,2.532619114,-2.667849446,NA,NA,5.627958979,0.392450046
39,Nothoprocta ornata,Ornate Tinamou,Tinamidae,Struthioniformes,AVIBASE-286A2FBA,5,1,3,1,5,30.9,18.1,7.3,7.1,38.3,0.322992194,185.6,48.5,137.1,26.1,66,619.3,Dunning,NA,NO,NA,NA,Grassland,2,1,Herbivore,Omnivore,Terrestrial,-30.01,-7.67,-18.41,-69.18,765344.43,22678254,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.532619114,1.097554047,1.091770202,7.2,4.336345128,0.124051397
40,Nothoprocta perdicaria,Chilean Tinamou,Tinamidae,Struthioniformes,AVIBASE-F900EE88,10,5,3,2,8,26,13.5,5.9,5.5,34.7,0.194193431,161.5,43.8,119,26.9,50.7,458,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Omnivore,Terrestrial,-41.77,-28.41,-35.43,-72.13,118590.62,22678265,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.23089849,-0.767094526,1.307009799,8,4.148444563,0.085005472
41,Nothoprocta cinerascens,Brushland Tinamou,Tinamidae,Struthioniformes,AVIBASE-4C8BCEC2,5,1,0,4,4,32.8,18.7,7.5,7.4,38.8,0.297339329,180.8,49.4,130.3,27.5,61.6,523.9,Dunning,NA,NO,NA,NA,Shrubland,2,1,Omnivore,Omnivore,Terrestrial,-41.17,-18.88,-29.32,-63.35,1208917.27,22678262,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.365330133,1.554708499,1.576059295,9,2.782564541,-0.198825762
42,Nothoprocta pentlandii,Andean Tinamou,Tinamidae,Struthioniformes,AVIBASE-7A66539A,9,2,3,4,9,27.9,14.7,5.9,5.9,37,0.123113615,148.2,33.5,114.7,22.6,53.4,300.7,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Omnivore,Terrestrial,-36.9,-2.83,-22,-69.26,612683.69,22678259,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.810142396,0.875076879,0.903435554,6.5,3.165695945,-0.119210673
43,Nothoprocta curvirostris,Curve-billed Tinamou,Tinamidae,Struthioniformes,AVIBASE-F68CA24D,4,0,0,4,4,29.4,16.1,5.7,5.9,34.6,0.187245779,160.2,49,111.3,30.6,55.2,376,Dunning,NA,NO,NA,NA,Grassland,2,1,Herbivore,Omnivore,Terrestrial,-10.31,0.6,-4.47,-78.21,52527.78,22678268,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.033618449,-1.581429748,NA,NA,5.414383638,0.348068877
44,Nothura boraquira,White-bellied Nothura,Tinamidae,Struthioniformes,AVIBASE-458340C7,7,0,2,5,4,21.5,9.8,5.7,4.7,31.1,0.042948409,133.2,35.4,94.7,27.2,47.2,283,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Omnivore,Terrestrial,-22.72,-3.2,-12.5,-45.92,1348296.47,22678283,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.749476204,1.66382528,0.230811813,4,3.519869514,-0.045613051
45,Nothura minor,Lesser Nothura,Tinamidae,Struthioniformes,AVIBASE-99D7964C,4,0,0,4,2,19.4,10.3,5,4.1,27,-0.081040442,110,28.2,81.8,25.6,47,165.8,Dunning,NA,NO,NA,NA,Grassland,2,1,Herbivore,Omnivore,Terrestrial,-23.93,-15.71,-18.92,-48.17,480730.25,22678280,VU,1,1,0,0,0,0,1,1,1,0,1,0,1.214811549,0.632534382,NA,NA,3.084137081,-0.136158686
46,Nothura darwinii,Darwin's Nothura,Tinamidae,Struthioniformes,AVIBASE-F7D16275,5,0,1,4,4,20.4,9.6,5.6,4.6,28.9,0.006606849,126.4,43.1,82.6,34.4,62.4,244.6,Dunning,NA,NO,NA,NA,Grassland,2,1,Herbivore,Omnivore,Terrestrial,-44.49,-9.4,-31.14,-65.77,1098896.66,22678271,LC,0,0,0,0,0,0,0,0,0,0,0,0,1.603653529,1.459289999,0.768910806,6,3.196424474,-0.112825254
47,Nothura maculosa,Spotted Nothura,Tinamidae,Struthioniformes,AVIBASE-03C3DDFB,11,4,3,4,8,19.7,9.2,5.8,5.2,34.7,-0.005685149,124.1,30.9,93.6,24.7,42.5,257.5,Dunning,NA,NO,NA,NA,Grassland,2,1,Herbivore,Omnivore,Terrestrial,-41.72,-2.77,-23.64,-54.06,5645223.73,154589710,LC,1,0,0,0,0,1,0,0,0,0,0,0,1.655049026,3.095793189,0.634386058,5.5,3.222422907,-0.107422754
48,Taoniscus nanus,Dwarf Tinamou,Tinamidae,Struthioniformes,AVIBASE-B62C4561,5,2,2,1,4,14.8,6.3,3.1,3.1,18.4,-0.259541633,76.6,16.2,60.8,21.4,34.8,43,Dunning,NA,NO,NA,NA,Grassland,2,1,Omnivore,Omnivore,Terrestrial,-20.74,-10.24,-16,-46.65,860857.56,22678286,EN,1,1,0,0,0,0,0,1,1,0,0,0,-0.134770578,1.215157135,-0.038237683,3,3.387939955,-0.073028146
49,Eudromia elegans,Elegant Crested Tinamou,Tinamidae,Struthioniformes,AVIBASE-4E215E82,6,3,2,1,5,29.1,13.8,7.4,7.4,44,0.481719302,215.3,74,141.8,34.3,85.8,702.9,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Omnivore,Terrestrial,-50.16,-19.72,-37.3,-65.92,1493624.4,22678289,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.65924394,1.766189008,1.037960302,7,4.964601192,0.254603635
50,Eudromia formosa,Quebracho Crested Tinamou,Tinamidae,Struthioniformes,AVIBASE-9337459C,2,2,0,0,2,32.5,18.2,7.9,8.2,49.5,0.527680686,223.9,48.5,175.4,21.7,78,772.9,EltonTraits_Model,NA,NO,NA,NA,Woodland,2,1,Herbivore,Omnivore,Terrestrial,-28.32,-20.44,-24.65,-61.91,285672.47,22678294,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.75417898,0.112074024,NA,NA,5.153080265,0.293769775
51,Tinamotis pentlandii,Puna Tinamou,Tinamidae,Struthioniformes,AVIBASE-0A51B426,5,0,1,4,4,31.2,14.8,7.4,7.5,47.6,0.685338924,253.4,83.5,169.8,33,69.2,650,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Omnivore,Terrestrial,-26.42,-10.13,-18.63,-69.15,632710.16,22678299,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.581001669,0.907240514,0.634386058,5.5,4.652603452,0.189770193
52,Tinamotis ingoufi,Patagonian Tinamou,Tinamidae,Struthioniformes,AVIBASE-EC451D91,2,2,0,0,2,28.6,13.6,7.2,6.8,43.6,0.481184867,215.2,77.2,138,36,57.3,950,Updated_literature,BoW,NO,NA,NA,Grassland,3,1,Herbivore,Omnivore,Terrestrial,-52.76,-40.37,-47.06,-70.12,403733.45,22678302,LC,0,0,0,0,0,0,0,0,0,0,0,0,2.960491291,0.457982963,NA,NA,2.938060626,-0.16651352
53,Casuarius casuarius,Southern Cassowary,Casuariidae,Struthioniformes,AVIBASE-8B9D93D8,7,2,3,2,4,104.8,26.5,14.3,20.6,287.2,0.938660974,300.8,0.2,300.6,0.1,402.5,44000,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Terrestrial,-18.93,-0.74,-6.85,140.42,379633.34,22678108,LC,1,1,1,0,1,1,0,1,0,0,1,0,6.795974219,0.396433972,0.679300317,5.666936791,12.14449609,1.746592969
54,Casuarius bennetti,Dwarf Cassowary,Casuariidae,Struthioniformes,AVIBASE-7751E0D1,4,1,0,3,4,73.8,19.4,10.8,16.1,260,0.489735822,216.8,0.2,216.6,0.1,318.8,35000,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Terrestrial,-10.66,-0.34,-5.06,142.1,396486.38,22678111,LC,1,1,0,0,1,1,0,0,0,0,0,0,6.567132647,0.43986977,0.49986131,5,11.55406202,1.623900179
