English.name,newrow
Rusty-tailed Flycatcher,398
Akekee,398
Greater Coucal,400
Mountain Buzzard,401
Wedge-tailed Tetraka,402
Bronze-winged Courser,406
White-throated Bee-eater,406
Cameroon Indigobird,406
Reddish Egret,407
Bushy-crested Jay,409
White-sided Hillstar,410
Greater Green Leafbird,411
Rusty Pitohui,412
Short-tailed Lark,412
Semicollared Puffbird,413
White-striped Warbler,413
Ochraceous Wren,415
Glaucous Gull,416
Black Grouse,419
Grey Parrot,420
White-throated Hummingbird,421
Chimney Swift,422
Yemen Serin,423
Rio Suno Antwren,424
Northern Nutcracker,425
Kirtland's Warbler,425
Barred Antshrike,427
Roraiman Barbtail,429
Chilean Swallow,429
Abdim's Stork,430
White-eyed Thrush,431
African Darter,432
Pintail Snipe,433
Spotted Palm-thrush,434
Golden-fronted Leafbird,435
White-gorgeted Fantail,436
African Comb Duck,438
Sulawesi Masked-owl,440
Nicaraguan Seed-finch,442
Wood Warbler,443
Ancash Tapaculo,444
Chilean Mockingbird,445
Dusky-winged Woodpecker,446
MacGillivray's Warbler,446
Cape Eagle-owl,447
Indian Spot-billed Duck,449
Black-billed Streamertail,449
White-breasted Sunbird,450
Indian Nuthatch,451
Changeable Hawk-eagle,452
Humblot's Flycatcher,452
Redpoll,452
Hainan Partridge,453
Chilean Pigeon,454
Ruby-throated Hummingbird,455
Downy Woodpecker,455
Blue-winged Mountain-tanager,456
Grey-faced Buzzard,458
Common Nightingale,458
Greater Rhea,459
Black-chinned Hummingbird,460
Dwarf Cuckoo,461
Black-headed Grosbeak,461
Plain-colored Tanager,462
Southern Rockhopper Penguin,463
White-necked Raven,464
Spangled Cotinga,465
Pink-eared Duck,467
Brown Shrike,467
Rufous-throated Wren-babbler,467
Brazilian Tinamou,468
Roviana Rail,468
Madagascar Partridge,469
Satin Flycatcher,469
Wavy-breasted Parakeet,472
Amazonian Black-breasted Woodpecker,473
Grey-streaked Honeyeater,475
Common Chaffinch,476
Lesser Whistling-duck,477
Rufous-shafted Woodstar,477
Greater Crested Tern,477
Red-banded Flowerpecker,481
Water Pipit,481
Sulawesi Goshawk,482
Gough Moorhen,483
Coxen's Fig-parrot,483
Rondonia Antwarbler,484
Red-capped Flowerpecker,485
Vermiculated Fishing-owl,486
Summer Tanager,487
Black-winged Myna,488
White-faced Ibis,489
Duida Woodcreeper,492
Golden-bellied Gerygone,492
Necklaced Spinetail,494
Grasshopper Sparrow,496
White-necked Laughingthrush,497
Sooty Fox-sparrow,499
Spot-vented Emerald,502
Grey Bushchat,502
Darwin's Nothura,503
Sapphire-rumped Parrotlet,504
Nilgiri Flycatcher,504
Olive-headed Weaver,504
Peruvian Thick-knee,505
Red-crowned Amazon,505
Cerulean Flycatcher,506
Seychelles Bulbul,507
Orchard Oriole,507
Eastern White-throated Spadebill,508
Black-breasted Hillstar,510
Stripe-breasted Rhabdornis,511
Snow Goose,512
Polynesian Imperial-pigeon,513
Red-headed Woodpecker,513
Magellanic Horned Owl,515
Large-tailed Antshrike,515
Belted Flycatcher,515
Mountain Wagtail,515
Crested Guan,516
Newton's Fiscal,516
Peruvian Plantcutter,517
Rufous Treecreeper,517
Yellow Tyrannulet,518
Woodland Kingfisher,519
Western Spindalis,519
Rufous-tailed Attila,520
Rufous Coucal,521
Lanner Falcon,521
Sudan Golden Sparrow,523
Banded Ground-cuckoo,525
White-faced Storm-petrel,526
Black-billed Turaco,527
Great White Egret,527
Chestnut-crowned Laughingthrush,527
Saturnine Antshrike,528
Chestnut-fronted Macaw,529
Pygmy Blue-flycatcher,533
Yellow-fronted Barbet,535
Mountain Quail,536
Mountain Plover,536
South Melanesian Cuckooshrike,538
Strange-tailed Tyrant,541
Hispaniolan Elaenia,542
Roraiman Antbird,543
Neblina Tapaculo,544
Common Coot,546
Beaudouin's Snake-eagle,546
Vinaceous Dove,547
Two-barred Warbler,548
Pacific-slope Flycatcher,549
Ruddy-breasted Seedeater,549
Red-backed Kingfisher,550
Crow-billed Drongo,552
Palau Ground-dove,553
Barred Dove,555
Great Potoo,555
Eurasian Pygmy-owl,556
Marsh Tchagra,558
Makira Thrush,558
Senegal Coucal,559
Black-rumped Flameback,560
Black Curassow,561
Chestnut-sided White-eye,561
Stolzmann's Tanager,561
Black-and-gold Cotinga,562
Veraguas Mango,564
Grey-headed Gull,564
Chestnut-shouldered Antwren,564
Yellow Wattlebird,564
Rudd's Apalis,564
Black Noddy,565
Canyon Wren,565
Bee Hummingbird,566
White-eared Conebill,566
Spot-breasted Wren,568
Mountain Trogon,569
Royal Tern,571
Northern Goshawk,572
Celestial Monarch,572
Palawan Spiderhunter,572
Wilson's Bird-of-paradise,573
Great Curassow,576
Long-tailed Rosefinch,577
Common Yellowthroat,578
Flame-fronted Barbet,579
Pirre Hummingbird,581
Chestnut-bellied Malkoha,581
Comoro Blue Vanga,582
Bush Pipit,582
Chapada Flycatcher,583
Tanager Finch,584
Buru Green-pigeon,585
Flesh-footed Shearwater,586
Malay Bullfinch,588
Cocos Finch,589
Terrestrial Brownbul,590
Black-throated Grey Warbler,590
Grey-headed Woodpecker,591
Eastern Clapper Lark,591
Black-hooded Tanager,594
Yellow-billed Stork,596
Red-billed Brush-turkey,597
Mali Firefinch,597
Black-crested Finch,597
White-crested Turaco,598
Spotted Wood-owl,599
Papuan Harrier,599
Violet-necked Lory,600
Ring-billed Gull,601
McGregor's Cuckooshrike,601
Karoo Lark,603
Canada Goose,606
Black-crowned Tchagra,606
Sedge Warbler,606
Olive-green Camaroptera,607
White-eared Myza,609
Brown-backed Needletail,610
Citron-bellied Attila,611
Lesser Grass-finch,611
Red-legged Kittiwake,613
Papuan Logrunner,613
Mountain Peltops,613
White-rumped Babbler,613
White-naped Yuhina,614
Black-bellied Bustard,615
Forest Kingfisher,618
Rufous-browed Babbler,618
Grey-chested Kakamega,618
Emerald-chinned Hummingbird,619
White-browed Treecreeper,620
Long-tailed Mockingbird,620
Oaxaca Sparrow,620
Ochraceous Bulbul,621
Black-capped Antwren,622
Ochre-striped Antpitta,622
Ruddy-headed Goose,624
Bradfield's Hornbill,624
Brown-rumped Foliage-gleaner,625
Ayacucho Thistletail,625
Black-headed Apalis,625
Scaled Pigeon,626
Red-throated Pipit,627
Sulawesi Lilac Kingfisher,628
Lawrence's Thrush,628
Cinereous Bulbul,630
Black-faced Go-away-bird,631
Common Murre,631
Moluccan Woodcock,632
Common White Tern,632
Magnolia Warbler,632
Plain-tailed Warbling-finch,632
Wedge-tailed Green-pigeon,633
Golden-mantled Racquet-tail,635
Plain Gerygone,635
Black-throated Jay,636
Parakeet Auklet,638
Pearl Kite,638
Himalayan Griffon,639
Red-eyed Puffback,639
Short-toed Coucal,640
Grand Comoro Scops-owl,640
Papuan Spinetail,642
Common Fiscal,642
Chestnut-backed Sparrow-lark,642
Fulvous-vented Euphonia,642
Buru Honeyeater,643
Black-backed Woodpecker,645
Turquoise Parrot,645
Purple-crowned Fairy,646
Blue-headed Racquet-tail,648
Buff-bellied Penduline-Tit,648
Fire-tufted Barbet,650
Himalayan Woodpecker,653
Cameroon Olive-pigeon,654
Pitta-like Ground-roller,655
Streaky-headed Seedeater,655
Manicore Antwarbler,656
Grey-headed Lovebird,659
Long-legged Pipit,659
Two-barred Crossbill,661
Quailfinch Indigobird,663
Connecticut Warbler,663
Blue-whiskered Tanager,663
Spotted Tanager,664
Fiji White-eye,666
Yellow-throated Bulbul,667
Red-crowned Ant-tanager,667
Thrush-like Antpitta,668
Black-chinned Babbler,669
Palmchat,669
Rufous-gaped Hillstar,670
Willet,671
Plain-crowned Spinetail,671
Painted Francolin,675
Seram Friarbird,676
Olive Sunbird,676
Black-billed Seed-finch,678
Northern Rufous Hornbill,679
Purple-bibbed Whitetip,681
Black Swan,682
Coral-billed Ground-cuckoo,684
Eastern Wood-pewee,684
Glittering-throated Emerald,685
Greater Swamp-warbler,688
White-breasted Tapaculo,690
Scarlet-backed Woodpecker,691
White-bellied Tody-tyrant,691
Virginia's Warbler,691
Elf Owl,692
Lesser Kestrel,692
Siberian Blue Robin,694
Cetti's Warbler,695
White-bearded Manakin,697
Yellow-browed Camaroptera,698
Fawn-breasted Tanager,699
Sunda Blue Robin,701
Fan-tailed Berrypecker,705
Channel-billed Cuckoo,706
Buckley's Forest-falcon,707
Sao Tome Paradise-flycatcher,707
Dusky-headed Parakeet,711
Biak Monarch,711
Ibadan Malimbe,711
Apurimac Spinetail,713
Cardinal Woodpecker,714
Kurrichane Thrush,715
Blue-backed Tanager,716
Tagula Butcherbird,718
Semper's Warbler,720
Large Cuckooshrike,725
Turner's Eremomela,725
Black-and-white Owl,726
Rusty Mouse-warbler,727
Zapata Sparrow,727
African Plain Martin,729
Blue-capped Puffleg,730
Humblot's Sunbird,730
Bougainville Moustached Kingfisher,731
Black-chinned Monarch,732
Reeves's Pheasant,733
White-tipped Swift,733
Abbott's Babbler,734
Andaman Woodpigeon,735
Burchell's Courser,735
Red-fan Parrot,735
Altamira Yellowthroat,735
Forbes's Forest-rail,736
White-collared Jay,738
Palawan Scops-owl,740
Agile Tit-tyrant,743
Eurasian Jackdaw,743
Greater Hoopoe-lark,746
Northern Boobook,747
Cebu Boobook,747
Tolima Blossomcrown,750
White-throated Tit,751
Lesser Roadrunner,752
Straight-billed Hermit,753
Grey-headed Bristlebill,753
Amazonian Grey Saltator,753
Marigold Lorikeet,754
Warbling Vireo,754
Creamy-bellied Antwren,755
Red-tailed Hawk,757
Sandy Scops-owl,758
White-throated Treecreeper,758
Lawes's Parotia,760
Southern Black Bustard,761
Olive-streaked Flycatcher,761
Chivi Vireo,761
Superb Fairy-wren,762
New Caledonian Whistler,763
Blue Crane,765
Whitehead's Trogon,765
Lina's Sunbird,765
Harlequin Quail,766
Bogota Rail,768
Yellow-vented Flowerpecker,768
Australian Zebra Finch,768
Peruvian Piedtail,769
Dark-eared Brown-dove,771
Mountain Yellow Warbler,771
Papuan Scrub-robin,772
Angola Swallow,772
White-banded Mockingbird,772
Lesser Spotted Eagle,774
Cabanis's Spinetail,774
Hispaniolan Spindalis,777
New Britain Rail,779
Tenerife Blue Chaffinch,779
Andre's Swift,782
Grey-crowned Flatbill,782
Noronha Elaenia,782
Streak-headed White-eye,783
Crested Eagle,786
Chestnut-quilled Rock-pigeon,787
Eastern Imperial Eagle,787
Gran Canaria Blue Chaffinch,789
Southern Indigo-banded Kingfisher,790
Cinereous Vulture,791
Brent Goose,792
Band-bellied Crake,792
African Pygmy-kingfisher,792
Common Reed-warbler,792
Moluccan Starling,792
Red-backed Shrike,793
Orange-crowned Warbler,793
Long-tailed Starling,797
Roti Fantail,799
Botha's Lark,800
Pauraque,803
Spotted Redshank,803
Narcondam Hornbill,803
Long-tailed Honey-buzzard,804
Shining Drongo,804
Blue-and-white Kingfisher,805
Patagonian Tyrant,805
Small Minivet,806
Cassin's Finch,806
Cape Bunting,807
Yellow-eared Barbet,808
Pernambuco Foliage-gleaner,810
Upemba Masked Weaver,814
Common Grackle,815
Munchique Wood-wren,816
Mindanao Blue Fantail,817
Greater Adjutant,818
Andaman Serpent-eagle,820
Common Teal,822
Kentucky Warbler,822
Common Diving-petrel,823
Andean Tit-spinetail,823
Broad-tailed Paradise-whydah,823
Pygmy Cupwing,825
Western Bronze Ground-dove,828
Blue-winged Goose,829
Greater Painted-snipe,829
Sand-colored Nighthawk,832
Black-faced Hawk,832
White-breasted Thrasher,832
Buff-breasted Sabrewing,833
Fasciated Tiger-heron,834
Chestnut-throated Apalis,834
Black-and-white Mannikin,834
Annam Barbet,836
Grey-chested Dove,837
Sooty Swift,837
Moustached Hawk-cuckoo,839
Silver-eared Honeyeater,839
Dupont's Lark,840
Horned Guan,841
White-naped Friarbird,841
Yellow-tufted Pipit,841
White's Thrush,842
Russet-throated Puffbird,843
White-shouldered Starling,843
Ring-tailed Pigeon,844
Orange-breasted Fruiteater,845
Yellow-billed Magpie,845
Helmeted Myna,845
Canebrake Groundcreeper,848
Fluffy-backed Tit-babbler,849
Caica Parrot,851
Chestnut-throated Partridge,852
Visayan Hornbill,852
Sharp-shinned Hawk,853
Makira Starling,853
Siau Scops-owl,854
Schlegel's Asity,855
Nonggang Babbler,855
Bower's Shrike-thrush,857
Rufous-breasted Piculet,860
Tschudi's Woodcreeper,860
Short-tailed Frogmouth,861
Bay-crowned Brush-finch,861
Cardinal Quelea,862
Wattled Brush-turkey,864
Gunnison Grouse,864
Mountain Parakeet,864
Enggano Scops-owl,865
Canyon Canastero,865
Olomao,865
Red-footed Booby,866
Philippine Trogon,866
White-crested Guan,868
Lineated Woodpecker,868
Tepui Antpitta,868
Wilson's Snipe,872
Orange-breasted Trogon,874
Rufous-breasted Sabrewing,875
Slaty-backed Hemispingus,875
Cocos Cuckoo,877
White-naped Woodpecker,877
Green-bellied Hummingbird,878
Pink-footed Shearwater,879
Vilcabamba Thistletail,879
Dwarf Bittern,880
Romblon Boobook,883
Maui Akepa,883
Hispaniolan Crossbill,883
New Caledonian Owlet-nightjar,884
Mindanao Lowland Scops-owl,884
Black Sicklebill,884
Grey-headed Warbler,884
Golden-crowned Tanager,886
Brownish-flanked Bush-warbler,887
Ochre-breasted Brush-finch,888
Hill Prinia,889
Yellow Penduline-tit,890
Horsfield's Bronze-cuckoo,893
White-lined Honeyeater,896
Rufous-thighed Kite,898
Obi Golden Bulbul,898
Black-throated Trogon,899
Guadalcanal Moustached Kingfisher,899
Booted Warbler,899
Rufous-capped Babbler,899
White-rumped Sandpiper,900
Black-and-white Becard,902
Thicket Flycatcher,902
Rufous Twistwing,904
Makira Boobook,906
African Swift,907
Bateleur,908
Northern Beardless Tyrannulet,908
Jambu Fruit-dove,909
Common Buttonquail,909
Reddish Scops-owl,909
White-faced Partridge,910
Northern Rosella,910
Lemon-throated Leaf-warbler,910
Nimba Flycatcher,910
Yucatan Flycatcher,911
Eye-ringed Flatbill,912
Chestnut Wattle-eye,913
Purple-throated Cuckooshrike,914
Yellow-legged Weaver,915
Dark-throated Seedeater,915
Yellow-chinned Spinetail,917
Principe Sunbird,919
Red-lored Amazon,921
Green-winged Saltator,922
Slaty-backed Chat-tyrant,923
Silver-beaked Tanager,925
Siberian Scoter,927
Large Pale-browed Treehunter,927
American Redstart,927
Plain Parakeet,929
Greater Thornbird,929
Rufous-tailed Hummingbird,930
Sira Barbet,930
Violet-capped Woodnymph,931
Furtive Flycatcher,931
Black-and-gold Tanager,934
Bar-throated Apalis,935
Black Storm-petrel,936
Growling Riflebird,936
Spotted Crake,938
Scarlet-fronted Parakeet,939
Southern Antpipit,939
Northern Pintail,941
Von der Decken's Hornbill,942
Principe White-eye,942
Sillem's Rosefinch,942
Little Woodstar,943
Reddish-winged Bare-eye,943
Drongo Fantail,943
Pohnpei Fruit-dove,944
Black-headed Tody-flycatcher,946
Russet-crowned Warbler,948
White-capped Fruit-dove,949
Greyish Piculet,950
Chestnut Woodpecker,951
Chapin's Flycatcher,951
Lesser Masked Weaver,951
Black-thighed Grosbeak,951
Falkland Steamerduck,952
Striped Woodcreeper,956
Rock Bunting,956
Barred Forest-falcon,957
Calliope Hummingbird,959
Goldie's Lorikeet,959
Venezuelan Flowerpiercer,959
White-fronted Bee-eater,960
Yellow-breasted Boatbill,964
Baer's Pochard,965
White-browed Brush-finch,968
Large-footed Tapaculo,970
Stilt Sandpiper,971
Indian Cuckoo,972
Black-cheeked Lovebird,972
White-chinned Swift,976
Tuamotu Reed-warbler,978
Elegant Trogon,979
Andaman Scops-owl,980
Alpine Thrush,980
Scopoli's Shearwater,981
Masked Saltator,981
Antillean Nighthawk,982
White-rumped Triller,983
Sandwich Tern,984
White-eyed Parakeet,984
White-browed Scimitar-babbler,985
Spot-flanked Gallinule,987
Yellow-crowned Whitestart,989
Sao Tome Bronze-naped Pigeon,993
Yellow-streaked Lory,994
Black-faced Coucal,996
White-crowned Parrot,996
Tucuman Mountain-finch,998
American Pygmy-kingfisher,1000
Glossy Antshrike,1000
Cinereous Ground-tyrant,1000
Brooks's Leaf-warbler,1001
Trilling Cisticola,1002
Capped White-eye,1003
Finsch's Flycatcher-thrush,1003
Alder Flycatcher,1005
Fulvous-headed Brush-finch,1005
Many-striped Canastero,1006
Peruvian Tyrannulet,1006
Little Cuckoo-dove,1007
Pine Bunting,1007
White-capped Water-redstart,1010
Rufous Gnateater,1011
Blue-faced Parrotfinch,1012
Grey-naped Antpitta,1014
Tricolored Blackbird,1014
Hill-forest Honeyeater,1015
Ribbon-tailed Astrapia,1016
Greater Band-winged Nightjar,1017
Ashy Prinia,1017
Ancient Murrelet,1018
New Britain Friarbird,1018
Long-billed Pipit,1019
Whistling Heron,1020
Rufous-sided Warbling-finch,1021
Royal Sunangel,1022
Oriental Dwarf-kingfisher,1023
Turquoise-crowned Hummingbird,1024
Indian Spotted Eagle,1024
Greater Sri Lanka Flameback,1024
Black Cuckooshrike,1024
