"","Sequence","species","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other"
"11",3106,"Accipiter henicogrammus","Accipitridae","Accipitriformes","AVIBASE-9288286D",5,2,3,0,4,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,358.7,"Inferred",NA,"YES","Body Mass","Accipiter fasciatus","Forest",1,1,"Carnivore","Vertivore","Insessorial",-0.92,2.65,0.88,128.01,22781.85,22695544,2,0,"1","0","1","1","1","1","0","1","0","0","0","0"
"12",3126,"Accipiter henstii","Accipitridae","Accipitriformes","AVIBASE-05701150",4,2,2,0,4,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-25.2,-11.95,-18.72,46.85,434639.7,22695678,3,1,"1","0","0","0","0","1","0","0","0","0","0","0"
"13",3108,"Accipiter imitator","Accipitridae","Accipitriformes","AVIBASE-466CC533",1,1,0,0,1,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-8.58,-5.41,-6.76,156.47,10050.21,22695553,3,1,"1","1","0","0","0","1","0","0","0","0","0","0"
"14",3107,"Accipiter luteoschistaceus","Accipitridae","Accipitriformes","AVIBASE-EA787A01",1,0,1,0,0,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,"Dunning",NA,"YES","Beak Culmen; Beak Nares","Accipiter imitator","Forest",1,1,"Carnivore","Vertivore","Insessorial",-6.31,-4.19,-5.5,150.45,28814.74,22695547,3,1,"1","1","0","1","0","1","0","0","0","0","0","0"
"15",3118,"Accipiter madagascariensis","Accipitridae","Accipitriformes","AVIBASE-5D673E3E",4,2,2,0,4,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-25.61,-11.95,-19.43,46.69,476517.51,22695613,2,0,"1","0","0","0","0","1","0","0","0","0","0","0"
"16",3113,"Accipiter nanus","Accipitridae","Accipitriformes","AVIBASE-7F1573CA",2,0,2,0,1,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,117,"Inferred",NA,"YES","Body Mass","Accipiter virgatus","Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.7,1.76,-1.08,121.34,110477,22695591,2,0,"0","0","0","0","0","1","0","0","0","0","0","0"
"17",3120,"Accipiter nisus","Accipitridae","Accipitriformes","AVIBASE-DB376A66",19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",26.9,70.53,54.67,77.29,23601609.31,22695624,1,0,"1","0","0","1","0","1","0","1","1","0","0","0"
"18",3119,"Accipiter ovampensis","Accipitridae","Accipitriformes","AVIBASE-BAE91683",5,2,3,0,4,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Vertivore","Aerial",-27.22,13.92,-8.53,23.37,7295779.86,22695619,1,0,"0","0","0","0","0","1","0","0","0","0","0","0"
"19",3084,"Accipiter poliogaster","Accipitridae","Accipitriformes","AVIBASE-707547BB",5,2,3,0,3,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-30.38,6.82,-7.81,-60.09,7203530.62,22695453,2,0,"1","0","0","0","0","0","0","0","0","0","0","0"
"20",3100,"Accipiter princeps","Accipitridae","Accipitriformes","AVIBASE-B202721E",2,1,1,0,2,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,"Inferred",NA,"YES","Body Mass","Accipiter poliocephalus","Forest",1,1,"Carnivore","Vertivore","Insessorial",-6.11,-4.23,-5.35,151.04,11549.62,22695561,3,1,"1","0","0","1","0","1","0","0","0","0","1","0"
"21",3093,"Accipiter soloensis","Accipitridae","Accipitriformes","AVIBASE-D188E45C",5,2,3,0,4,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.8,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Vertivore","Insessorial",20.24,47.24,31.97,117.13,2375886.74,22695503,1,0,"1","0","1","0","1","1","0","0","0","0","0","0"
"22",3112,"Accipiter virgatus","Accipitridae","Accipitriformes","AVIBASE-A59A2D4D",15,9,5,1,13,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Generalist",-8.98,35.61,22.08,101.25,4398429.71,22695588,1,0,"0","0","0","0","0","1","0","0","0","0","0","0"
"23",3018,"Aegypius monachus","Accipitridae","Accipitriformes","AVIBASE-158BDC90",4,2,2,0,4,87.8,59.9,27.9,39.8,134.2,734.2,302.2,432,41.1,371,9320.6,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Scavenger","Scavenger","Terrestrial",25.27,54.37,41.63,87.87,7718571.19,22695231,2,0,"1","0","0","1","1","1","1","1","0","0","1","1"
"24",3047,"Aquila adalberti","Accipitridae","Accipitriformes","AVIBASE-69742EE4",4,3,1,0,4,61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,"Dunning",NA,"NO",NA,NA,"Woodland",1,2,"Carnivore","Vertivore","Generalist",36.28,41.56,39.06,-5.23,131221.76,22696042,3,1,"1","1","1","1","1","1","1","0","0","0","0","0"
"25",3050,"Aquila chrysaetos","Accipitridae","Accipitriformes","AVIBASE-5F8E7CA8",8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Aerial",6.36,71.12,50.67,38.05,39450257.98,22696060,1,0,"1","1","0","1","1","1","0","0","1","0","1","0"
"26",3049,"Aquila gurneyi","Accipitridae","Accipitriformes","AVIBASE-22A50A54",4,2,1,1,3,55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Aerial",-10.73,2.65,-5.05,140.46,601810.35,22696056,2,0,"0","0","0","0","0","1","0","0","0","0","0","0"
"27",3048,"Aquila heliaca","Accipitridae","Accipitriformes","AVIBASE-469DCF57",5,2,3,0,3,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,"Dunning",NA,"NO",NA,NA,"Woodland",1,3,"Carnivore","Vertivore","Generalist",35.35,59.75,49.87,70.89,9556213.62,22696048,3,1,"1","1","0","0","1","1","1","0","0","0","0","0"
"28",3046,"Aquila nipalensis","Accipitridae","Accipitriformes","AVIBASE-A635F565",5,2,3,0,4,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Aerial",31.2,53.52,43.73,85.14,6933240.92,22696038,4,1,"1","0","0","1","1","1","1","1","1","0","0","0"
"29",3045,"Aquila rapax","Accipitridae","Accipitriformes","AVIBASE-F6D547B2",5,2,3,0,4,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,"Dunning",NA,"NO",NA,NA,"Shrubland",2,3,"Carnivore","Vertivore","Generalist",-34.31,36.93,3.92,30.52,17572054.36,22696033,3,1,"1","0","1","0","1","1","0","0","0","0","1","1"
"30",2981,"Aviceda cuculoides","Accipitridae","Accipitriformes","AVIBASE-648936C0",5,2,3,0,3,25.5,17.1,10.6,13.9,33,264.6,114,153.5,42.4,154.2,277,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-34.21,14.08,-3.74,21.08,10593852.38,22694944,1,0,"0","1","0","0","0","1","0","0","0","0","0","1"
"31",2983,"Aviceda jerdoni","Accipitridae","Accipitriformes","AVIBASE-0C89F1D6",5,1,3,1,4,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Omnivore","Insessorial",-5.95,28.63,6.17,107.44,1592906.95,22694956,1,0,"0","1","0","0","0","1","0","0","0","0","0","0"
"32",2985,"Aviceda leuphotes","Accipitridae","Accipitriformes","AVIBASE-139A5705",5,2,3,0,4,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Insessorial",8.56,33.35,23.21,103.96,3528791.57,22694964,1,0,"0","0","0","0","0","1","0","0","0","0","0","0"
"33",3156,"Butastur indicus","Accipitridae","Accipitriformes","AVIBASE-2E1D79FE",5,0,2,3,4,40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,"Dunning",NA,"NO",NA,NA,"Woodland",2,3,"Carnivore","Vertivore","Insessorial",30.99,52.35,44.31,129.81,1828306.34,22695726,1,0,"1","0","1","0","0","1","0","1","0","0","0","0"
"34",3153,"Butastur rufipennis","Accipitridae","Accipitriformes","AVIBASE-45A1D850",5,2,3,0,4,28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.9,"Dunning",NA,"NO",NA,NA,"Woodland",3,1,"Carnivore","Invertivore","Insessorial",-6.49,19.11,12.64,11.75,3625177.22,22695714,1,0,"1","0","0","0","0","1","0","0","1","0","1","0"
"35",3200,"Buteo auguralis","Accipitridae","Accipitriformes","AVIBASE-A16C3B99",5,2,3,0,4,33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-12.58,16.03,7.61,12.15,7045229.26,22695978,1,0,"1","0","0","0","0","1","0","0","0","0","0","0"
"36",3203,"Buteo buteo","Accipitridae","Accipitriformes","AVIBASE-3C0C325D",19,6,11,2,9,35.9,22.1,12.6,16.6,75.8,382.9,147.2,236.9,38.3,214.4,759.1,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Insessorial",14.89,67.81,52.89,40.23,11719424.27,61695117,1,0,"1","0","0","1","1","1","0","0","1","0","0","0"
"37",3194,"Buteo galapagoensis","Accipitridae","Accipitriformes","AVIBASE-4D9F58B4",5,2,3,0,4,40.9,26,13.9,19.3,77,402.6,176.8,229.2,43.6,235.2,1137.4,"Dunning",NA,"NO",NA,NA,"Woodland",1,1,"Carnivore","Vertivore","Aerial",-1.41,0.65,-0.44,-91.13,5639.54,22695909,3,1,"1","1","0","0","0","1","0","1","0","0","0","0"
"38",3211,"Buteo hemilasius","Accipitridae","Accipitriformes","AVIBASE-92FFE8FF",5,2,3,0,4,40.7,23.1,14.7,18.8,80,467.2,179,290.2,38.2,251.4,1358.9,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Vertivore","Generalist",28.27,54.14,42.4,100.83,5366251.83,22695967,1,0,"1","0","0","0","1","0","0","0","1","0","0","1"
"39",3204,"Buteo japonicus","Accipitridae","Accipitriformes","AVIBASE-3895BE56",4,2,2,0,4,34.5,19.4,11.7,15.8,77,395,163,232,41.2,212,759.1,"DataFromSplit",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Insessorial",24.23,64.97,54.33,126.58,4465171.4,22732232,1,0,"0","1","1","0","1","1","0","0","0","0","0","0"
"40",3198,"Buteo lagopus","Accipitridae","Accipitriformes","AVIBASE-90B13ACF",7,3,4,0,4,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Insessorial",47.6,83.11,67.33,2.14,9709846.76,22695973,1,0,"1","0","0","0","1","1","0","0","1","0","1","0"
"41",3206,"Buteo oreophilus","Accipitridae","Accipitriformes","AVIBASE-5BFEFD9A",7,2,4,1,4,35.1,19.6,11.4,15.3,70.9,346,124.7,221.3,36,182.5,700,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-11.21,13.65,1.09,35.38,674707.01,22728020,2,0,"1","0","0","0","0","1","0","0","0","0","0","0"
"42",3199,"Buteo regalis","Accipitridae","Accipitriformes","AVIBASE-BA9191BC",5,2,3,0,4,41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Generalist",33.21,53.3,43.14,-108.76,2780053.23,22695970,1,0,"1","1","0","1","0","0","0","1","0","0","0","0"
"43",3187,"Buteo ridgwayi","Accipitridae","Accipitriformes","AVIBASE-AE294FD9",4,1,3,0,2,26.5,14.9,9.8,14.2,65.8,222.5,73.9,148.6,33.4,144.2,315,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",18.97,19.27,19.07,-69.57,210.23,22695886,5,1,"1","1","0","0","1","1","1","0","0","0","1","0"
"44",3209,"Buteo rufinus","Accipitridae","Accipitriformes","AVIBASE-CC65921F",4,2,2,0,4,41.6,23.5,14,19.8,86.1,447.5,180.8,266.8,40.5,244.5,1166.2,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Generalist",13.22,53.66,40.86,49.85,8574436.83,22736562,1,0,"1","0","0","1","1","1","1","1","1","0","1","0"
"45",3202,"Buteo rufofuscus","Accipitridae","Accipitriformes","AVIBASE-22031845",5,2,3,0,4,39.8,23.2,13.4,17.9,84.9,413.2,140.6,275.9,33.8,190.4,1530,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Generalist",-34.84,-19.37,-28.14,23.03,1533534.66,22695987,1,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"46",3210,"Buteo socotraensis","Accipitridae","Accipitriformes","AVIBASE-9081D32C",3,2,1,0,3,37.8,20.8,14.1,18,84,323,115.8,207.2,35.2,176.7,759.1,"DataFromSplit",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Insessorial",12.3,12.71,12.51,53.87,3622.4,22732235,3,1,"1","1","0","0","1","1","0","0","1","0","0","0"
"47",3190,"Buteo solitarius","Accipitridae","Accipitriformes","AVIBASE-7B3AB998",4,1,2,1,2,31.8,20.4,13.2,15.9,72.7,270.2,92.3,178,34.1,160.5,500.9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",18.99,20.27,19.6,-155.53,6957.48,22695929,2,0,"1","1","1","0","1","1","1","0","0","0","0","0"
"48",3207,"Buteo trizonatus","Accipitridae","Accipitriformes","AVIBASE-C2AD2E83",4,2,2,0,4,34,18,11.4,15.1,67.6,345.8,131.5,214.2,37.9,184,568,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-34.84,-32.2,-33.55,22.91,101450.72,22735392,2,0,"1","0","0","0","0","0","0","0","0","0","0","0"
"49",3197,"Buteo ventralis","Accipitridae","Accipitriformes","AVIBASE-40692C15",2,1,1,0,2,37.2,23.2,13,19,76.8,359,118.4,240.6,33,221.5,1190.5,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-55.92,-35.01,-47.95,-71.73,536992.07,22695936,3,1,"1","0","0","0","0","1","0","0","0","0","0","0"
"50",3168,"Buteogallus aequinoctialis","Accipitridae","Accipitriformes","AVIBASE-478C48D0",4,1,0,3,4,36.1,23.3,11.2,16,73.3,316.2,78.8,237.5,24.9,147.2,657.6,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Aquatic predator","Insessorial",-25.99,10.72,-3.65,-47.36,132570.12,22695808,2,0,"1","0","1","0","0","1","0","0","0","0","0","0"
"51",3173,"Buteogallus coronatus","Accipitridae","Accipitriformes","AVIBASE-ABDAC20A",6,3,1,2,4,60.9,39.9,15.8,29.7,119.4,533,177.5,361.2,33,262.2,2950,"Dunning",NA,"NO",NA,NA,"Shrubland",2,2,"Carnivore","Vertivore","Insessorial",-38.92,-9.72,-22.07,-55.75,4233989.28,22695855,4,1,"1","1","1","0","0","1","0","0","0","0","0","0"
"52",3167,"Buteogallus gundlachii","Accipitridae","Accipitriformes","AVIBASE-048545EA",4,0,3,1,4,39.6,24.4,12.3,17.3,85.2,348.1,112.6,235.6,32.4,190,975.1,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Omnivore","Insessorial",19.83,23.28,21.78,-80.11,14641.79,22735287,2,0,"0","0","1","0","0","1","0","1","1","0","0","0"
"53",3170,"Buteogallus lacernulatus","Accipitridae","Accipitriformes","AVIBASE-2EA48BBF",5,0,1,4,4,34.8,21.5,11.7,15.5,77.2,293.8,87,207.2,29.6,157,312,"Inferred",NA,"YES","Body Mass","Leucopternis melanops","Forest",1,1,"Carnivore","Vertivore","Insessorial",-27.15,-5.72,-17.46,-41.19,139998.95,22695763,3,1,"1","0","1","0","1","1","0","0","0","0","0","0"
"54",3172,"Buteogallus solitarius","Accipitridae","Accipitriformes","AVIBASE-5C9AF2BE",6,0,2,4,4,58.6,36.8,18.7,28,120.4,526.2,150.6,370.9,28.9,245.3,3000,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-23.22,29.01,3.86,-82.33,998204.29,22695849,2,0,"1","0","0","0","0","1","0","0","0","0","1","0"
"55",2967,"Chelictinia riocourii","Accipitridae","Accipitriformes","AVIBASE-22832FF4",5,2,3,0,4,17.7,11.6,8.6,9.1,28.2,240.2,136.2,108.5,55.7,192,110,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Aerial",-0.08,19.65,14.35,10.53,5425285.72,22695042,3,1,"1","0","1","0","0","1","0","0","1","0","1","0"
"56",2970,"Chondrohierax uncinatus","Accipitridae","Accipitriformes","AVIBASE-DCB3560C",7,3,3,1,4,36.2,27,12.4,18.4,33.6,285.3,59.8,224.2,21,197.6,286.1,"Dunning",NA,"NO",NA,NA,"Forest",2,2,"Carnivore","Invertivore","Insessorial",-27.24,26.3,-2.71,-64.2,9787616.08,22694971,1,0,"0","0","0","0","0","1","0","0","0","0","0","0"
"57",2971,"Chondrohierax wilsonii","Accipitridae","Accipitriformes","AVIBASE-B028452B",1,1,0,0,1,38.4,30.4,11.8,20.6,23,244,63.5,180.5,26,185,286.1,"Dunning",NA,"NO",NA,NA,"Forest",2,2,"Carnivore","Invertivore","Insessorial",20.18,20.75,20.47,-74.96,3890.11,22728485,5,1,"1","0","0","0","0","1","0","0","0","0","1","0"
"58",3002,"Circaetus beaudouini","Accipitridae","Accipitriformes","AVIBASE-F4E78AFA",5,4,1,0,4,45.6,33.5,15.1,22.7,79.3,501.8,216.8,280.5,43.5,259.6,1500,"Inferred",NA,"YES","Body Mass","Circaetus pectoralis","Woodland",2,1,"Carnivore","Vertivore","Insessorial",5.44,20.86,11.2,6.2,3453409.14,22732272,3,1,"1","0","1","0","0","1","0","0","1","0","0","0"
"59",3004,"Circaetus cinereus","Accipitridae","Accipitriformes","AVIBASE-6904D83F",5,2,3,0,4,54.7,40.6,15.8,28.6,94.3,517.8,222,295.2,42.9,254,2048,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Vertivore","Insessorial",-30.93,18.54,-3.63,22.83,11541044.04,22695271,1,0,"1","0","0","0","0","1","0","1","1","0","0","0"
"60",3005,"Circaetus fasciolatus","Accipitridae","Accipitriformes","AVIBASE-9F2839A9",4,0,1,3,4,39.8,27.7,13.9,23,71.7,362.2,101.5,260.8,28,227,1013.6,"Dunning",NA,"NO",NA,NA,"Woodland",3,1,"Carnivore","Vertivore","Insessorial",-29.24,1.34,-10.35,37.83,734455.97,22695277,2,0,"1","0","0","0","0","1","0","0","0","0","1","0"
"61",3001,"Circaetus gallicus","Accipitridae","Accipitriformes","AVIBASE-8372FFBA",5,2,3,0,4,47,35,15.5,24.6,90.9,537,216.8,320.2,40.5,280.4,1699.1,"Dunning",NA,"NO",NA,NA,"Woodland",3,3,"Carnivore","Vertivore","Aerial",-10.94,60.6,40.79,51.26,12695589.93,22734216,1,0,"1","0","0","1","1","1","1","1","1","0","0","0"
"62",3003,"Circaetus pectoralis","Accipitridae","Accipitriformes","AVIBASE-BF553D32",5,2,3,0,4,46.7,33.8,14.6,23.1,83.8,527.8,229,303.5,43,259.4,1500,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Vertivore","Generalist",-31.71,15.86,-10.32,28.83,9328714.6,22734223,1,0,"0","0","0","0","1","1","0","0","0","0","0","1"
"63",3068,"Circus aeruginosus","Accipitridae","Accipitriformes","AVIBASE-E2A19474",13,6,7,0,4,37.3,20.2,11.9,16.2,79.3,405.7,185.3,221.2,45.6,233.9,704.1,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Vertivore","Aerial",29.17,66.56,50.03,51.14,13390803.81,22695344,1,0,"1","0","1","1","1","1","0","1","1","0","1","0"
"64",3078,"Circus cyaneus","Accipitridae","Accipitriformes","AVIBASE-F558C7F9",9,4,4,1,3,30.1,16,9.7,13,72.1,352.4,158.9,197.1,44.7,131.7,393,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Aerial",37.61,73.38,58.07,84.36,17331412.86,22727733,1,0,"1","1","0","0","0","1","0","1","0","0","0","0"
"65",3074,"Circus macrosceles","Accipitridae","Accipitriformes","AVIBASE-C194112D",8,3,5,0,7,37.4,20.8,11.6,16.1,92.2,420.9,201.7,220.8,47.8,242.7,663.6,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Vertivore","Aerial",-24.47,-11.36,-19.14,46.18,412352.02,22695368,4,1,"1","0","0","0","0","1","1","1","0","0","0","0"
"66",3081,"Circus macrourus","Accipitridae","Accipitriformes","AVIBASE-22647E26",9,4,5,0,4,29.5,15,9.7,12.7,68,351.2,185,168.4,52.4,226.6,384.4,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Aerial",41.23,58.45,51.02,62.85,6168290.72,22695396,2,0,"1","0","0","0","0","1","0","1","1","0","1","0"
