"","X","Sequence","species","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other","logmass","logrange"
"26",26,3049,"Aquila gurneyi","Accipitridae","Accipitriformes","AVIBASE-22A50A54",4,2,1,1,3,55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Aerial",-10.73,2.65,-5.05,140.46,601810.35,22696056,2,0,0,0,0,0,0,1,0,0,0,0,0,0,8.02617019494643,13.307697641435
"27",27,3048,"Aquila heliaca","Accipitridae","Accipitriformes","AVIBASE-469DCF57",5,2,3,0,3,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,"Dunning",NA,"NO",NA,NA,"Woodland",1,3,"Carnivore","Vertivore","Generalist",35.35,59.75,49.87,70.89,9556213.62,22696048,3,1,1,1,0,0,1,1,1,0,0,0,0,0,8.04725356012259,16.0727021417196
"28",28,3046,"Aquila nipalensis","Accipitridae","Accipitriformes","AVIBASE-A635F565",5,2,3,0,4,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Aerial",31.2,53.52,43.73,85.14,6933240.92,22696038,4,1,1,0,0,1,1,1,1,1,1,0,0,0,7.90628937223731,15.7518379270685
"29",29,3045,"Aquila rapax","Accipitridae","Accipitriformes","AVIBASE-F6D547B2",5,2,3,0,4,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,"Dunning",NA,"NO",NA,NA,"Shrubland",2,3,"Carnivore","Vertivore","Generalist",-34.31,36.93,3.92,30.52,17572054.36,22696033,3,1,1,0,1,0,1,1,0,0,0,0,1,1,7.7124885559941,16.681820377631
"30",30,2981,"Aviceda cuculoides","Accipitridae","Accipitriformes","AVIBASE-648936C0",5,2,3,0,3,25.5,17.1,10.6,13.9,33,264.6,114,153.5,42.4,154.2,277,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-34.21,14.08,-3.74,21.08,10593852.38,22694944,1,0,0,1,0,0,0,1,0,0,0,0,0,1,5.62401750618734,16.1757844266871
"31",31,2983,"Aviceda jerdoni","Accipitridae","Accipitriformes","AVIBASE-0C89F1D6",5,1,3,1,4,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Omnivore","Insessorial",-5.95,28.63,6.17,107.44,1592906.95,22694956,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.89440283426485,14.2810711753845
"32",32,2985,"Aviceda leuphotes","Accipitridae","Accipitriformes","AVIBASE-139A5705",5,2,3,0,4,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Insessorial",8.56,33.35,23.21,103.96,3528791.57,22694964,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.26785815906333,15.0764660388559
"33",33,3156,"Butastur indicus","Accipitridae","Accipitriformes","AVIBASE-2E1D79FE",5,0,2,3,4,40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,"Dunning",NA,"NO",NA,NA,"Woodland",2,3,"Carnivore","Vertivore","Insessorial",30.99,52.35,44.31,129.81,1828306.34,22695726,1,0,1,0,1,0,0,1,0,1,0,0,0,0,6.02731420000168,14.4189005990128
"34",34,3153,"Butastur rufipennis","Accipitridae","Accipitriformes","AVIBASE-45A1D850",5,2,3,0,4,28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.9,"Dunning",NA,"NO",NA,NA,"Woodland",3,1,"Carnivore","Invertivore","Insessorial",-6.49,19.11,12.64,11.75,3625177.22,22695714,1,0,1,0,0,0,0,1,0,0,1,0,1,0,5.81383197980016,15.1034137333518
"35",35,3200,"Buteo auguralis","Accipitridae","Accipitriformes","AVIBASE-A16C3B99",5,2,3,0,4,33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-12.58,16.03,7.61,12.15,7045229.26,22695978,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6.49813153572511,15.767861245014
"36",36,3203,"Buteo buteo","Accipitridae","Accipitriformes","AVIBASE-3C0C325D",19,6,11,2,9,35.9,22.1,12.6,16.6,75.8,382.9,147.2,236.9,38.3,214.4,759.1,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Insessorial",14.89,67.81,52.89,40.23,11719424.27,61695117,1,0,1,0,0,1,1,1,0,0,1,0,0,0,6.63213352102272,16.2767582171864
"37",37,3194,"Buteo galapagoensis","Accipitridae","Accipitriformes","AVIBASE-4D9F58B4",5,2,3,0,4,40.9,26,13.9,19.3,77,402.6,176.8,229.2,43.6,235.2,1137.4,"Dunning",NA,"NO",NA,NA,"Woodland",1,1,"Carnivore","Vertivore","Aerial",-1.41,0.65,-0.44,-91.13,5639.54,22695909,3,1,1,1,0,0,0,1,0,1,0,0,0,0,7.0365002348727,8.6375577808822
"38",38,3211,"Buteo hemilasius","Accipitridae","Accipitriformes","AVIBASE-92FFE8FF",5,2,3,0,4,40.7,23.1,14.7,18.8,80,467.2,179,290.2,38.2,251.4,1358.9,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Vertivore","Generalist",28.27,54.14,42.4,100.83,5366251.83,22695967,1,0,1,0,0,0,1,0,0,0,1,0,0,1,7.21443082792645,15.4956402395411
"39",39,3204,"Buteo japonicus","Accipitridae","Accipitriformes","AVIBASE-3895BE56",4,2,2,0,4,34.5,19.4,11.7,15.8,77,395,163,232,41.2,212,759.1,"DataFromSplit",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Insessorial",24.23,64.97,54.33,126.58,4465171.4,22732232,1,0,0,1,1,0,1,1,0,0,0,0,0,0,6.63213352102272,15.311818159014
"40",40,3198,"Buteo lagopus","Accipitridae","Accipitriformes","AVIBASE-90B13ACF",7,3,4,0,4,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Insessorial",47.6,83.11,67.33,2.14,9709846.76,22695973,1,0,1,0,0,0,1,1,0,0,1,0,1,0,6.85625143611502,16.0886510584746
"41",41,3206,"Buteo oreophilus","Accipitridae","Accipitriformes","AVIBASE-5BFEFD9A",7,2,4,1,4,35.1,19.6,11.4,15.3,70.9,346,124.7,221.3,36,182.5,700,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-11.21,13.65,1.09,35.38,674707.01,22728020,2,0,1,0,0,0,0,1,0,0,0,0,0,0,6.5510803350434,13.4220338163644
"42",42,3199,"Buteo regalis","Accipitridae","Accipitriformes","AVIBASE-BA9191BC",5,2,3,0,4,41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Generalist",33.21,53.3,43.14,-108.76,2780053.23,22695970,1,0,1,1,0,1,0,0,0,1,0,0,0,0,7.27045205523936,14.8379806329655
"43",43,3187,"Buteo ridgwayi","Accipitridae","Accipitriformes","AVIBASE-AE294FD9",4,1,3,0,2,26.5,14.9,9.8,14.2,65.8,222.5,73.9,148.6,33.4,144.2,315,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",18.97,19.27,19.07,-69.57,210.23,22695886,5,1,1,1,0,0,1,1,1,0,0,0,1,0,5.75257263882563,5.34820216947703
"44",44,3209,"Buteo rufinus","Accipitridae","Accipitriformes","AVIBASE-CC65921F",4,2,2,0,4,41.6,23.5,14,19.8,86.1,447.5,180.8,266.8,40.5,244.5,1166.2,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Generalist",13.22,53.66,40.86,49.85,8574436.83,22736562,1,0,1,0,0,1,1,1,1,1,1,0,1,0,7.06150587878806,15.9642958730578
"45",45,3202,"Buteo rufofuscus","Accipitridae","Accipitriformes","AVIBASE-22031845",5,2,3,0,4,39.8,23.2,13.4,17.9,84.9,413.2,140.6,275.9,33.8,190.4,1530,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Generalist",-34.84,-19.37,-28.14,23.03,1533534.66,22695987,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.33302301438648,14.2430858641721
"46",46,3210,"Buteo socotraensis","Accipitridae","Accipitriformes","AVIBASE-9081D32C",3,2,1,0,3,37.8,20.8,14.1,18,84,323,115.8,207.2,35.2,176.7,759.1,"DataFromSplit",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Insessorial",12.3,12.71,12.51,53.87,3622.4,22732235,3,1,1,1,0,0,1,1,0,0,1,0,0,0,6.63213352102272,8.19489206856881
"47",47,3190,"Buteo solitarius","Accipitridae","Accipitriformes","AVIBASE-7B3AB998",4,1,2,1,2,31.8,20.4,13.2,15.9,72.7,270.2,92.3,178,34.1,160.5,500.9,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",18.99,20.27,19.6,-155.53,6957.48,22695929,2,0,1,1,1,0,1,1,1,0,0,0,0,0,6.21640648036357,8.84757261880015
"48",48,3207,"Buteo trizonatus","Accipitridae","Accipitriformes","AVIBASE-C2AD2E83",4,2,2,0,4,34,18,11.4,15.1,67.6,345.8,131.5,214.2,37.9,184,568,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-34.84,-32.2,-33.55,22.91,101450.72,22735392,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6.34212141872115,11.5273284423209
"49",49,3197,"Buteo ventralis","Accipitridae","Accipitriformes","AVIBASE-40692C15",2,1,1,0,2,37.2,23.2,13,19,76.8,359,118.4,240.6,33,221.5,1190.5,"Dunning",NA,"NO",NA,NA,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-55.92,-35.01,-47.95,-71.73,536992.07,22695936,3,1,1,0,0,0,0,1,0,0,0,0,0,0,7.08212866592692,13.1937386061566
"50",50,3168,"Buteogallus aequinoctialis","Accipitridae","Accipitriformes","AVIBASE-478C48D0",4,1,0,3,4,36.1,23.3,11.2,16,73.3,316.2,78.8,237.5,24.9,147.2,657.6,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Aquatic predator","Insessorial",-25.99,10.72,-3.65,-47.36,132570.12,22695808,2,0,1,0,1,0,0,1,0,0,0,0,0,0,6.48859684374197,11.7948669919747
"51",51,3173,"Buteogallus coronatus","Accipitridae","Accipitriformes","AVIBASE-ABDAC20A",6,3,1,2,4,60.9,39.9,15.8,29.7,119.4,533,177.5,361.2,33,262.2,2950,"Dunning",NA,"NO",NA,NA,"Shrubland",2,2,"Carnivore","Vertivore","Insessorial",-38.92,-9.72,-22.07,-55.75,4233989.28,22695855,4,1,1,1,1,0,0,1,0,0,0,0,0,0,7.98956044933387,15.258655198789
"52",52,3167,"Buteogallus gundlachii","Accipitridae","Accipitriformes","AVIBASE-048545EA",4,0,3,1,4,39.6,24.4,12.3,17.3,85.2,348.1,112.6,235.6,32.4,190,975.1,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Omnivore","Insessorial",19.83,23.28,21.78,-80.11,14641.79,22735287,2,0,0,0,1,0,0,1,0,1,1,0,0,0,6.88254002984107,9.59163504780077
"53",53,3170,"Buteogallus lacernulatus","Accipitridae","Accipitriformes","AVIBASE-2EA48BBF",5,0,1,4,4,34.8,21.5,11.7,15.5,77.2,293.8,87,207.2,29.6,157,312,"Inferred",NA,"YES","Body Mass","Leucopternis melanops","Forest",1,1,"Carnivore","Vertivore","Insessorial",-27.15,-5.72,-17.46,-41.19,139998.95,22695763,3,1,1,0,1,0,1,1,0,0,0,0,0,0,5.74300318780948,11.8493902015633
"54",54,3172,"Buteogallus solitarius","Accipitridae","Accipitriformes","AVIBASE-5C9AF2BE",6,0,2,4,4,58.6,36.8,18.7,28,120.4,526.2,150.6,370.9,28.9,245.3,3000,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Vertivore","Insessorial",-23.22,29.01,3.86,-82.33,998204.29,22695849,2,0,1,0,0,0,0,1,0,0,0,0,1,0,8.00636756765025,13.8137132337443
"55",55,2967,"Chelictinia riocourii","Accipitridae","Accipitriformes","AVIBASE-22832FF4",5,2,3,0,4,17.7,11.6,8.6,9.1,28.2,240.2,136.2,108.5,55.7,192,110,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Invertivore","Aerial",-0.08,19.65,14.35,10.53,5425285.72,22695042,3,1,1,0,1,0,0,1,0,0,1,0,1,0,4.70048036579242,15.506581123285
"56",56,2970,"Chondrohierax uncinatus","Accipitridae","Accipitriformes","AVIBASE-DCB3560C",7,3,3,1,4,36.2,27,12.4,18.4,33.6,285.3,59.8,224.2,21,197.6,286.1,"Dunning",NA,"NO",NA,NA,"Forest",2,2,"Carnivore","Invertivore","Insessorial",-27.24,26.3,-2.71,-64.2,9787616.08,22694971,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.65634140005607,16.0966284792364
"57",57,2971,"Chondrohierax wilsonii","Accipitridae","Accipitriformes","AVIBASE-B028452B",1,1,0,0,1,38.4,30.4,11.8,20.6,23,244,63.5,180.5,26,185,286.1,"Dunning",NA,"NO",NA,NA,"Forest",2,2,"Carnivore","Invertivore","Insessorial",20.18,20.75,20.47,-74.96,3890.11,22728485,5,1,1,0,0,0,0,1,0,0,0,0,1,0,5.65634140005607,8.26619271384765
"58",58,3002,"Circaetus beaudouini","Accipitridae","Accipitriformes","AVIBASE-F4E78AFA",5,4,1,0,4,45.6,33.5,15.1,22.7,79.3,501.8,216.8,280.5,43.5,259.6,1500,"Inferred",NA,"YES","Body Mass","Circaetus pectoralis","Woodland",2,1,"Carnivore","Vertivore","Insessorial",5.44,20.86,11.2,6.2,3453409.14,22732272,3,1,1,0,1,0,0,1,0,0,1,0,0,0,7.3132203870903,15.054872457624
"59",59,3004,"Circaetus cinereus","Accipitridae","Accipitriformes","AVIBASE-6904D83F",5,2,3,0,4,54.7,40.6,15.8,28.6,94.3,517.8,222,295.2,42.9,254,2048,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Carnivore","Vertivore","Insessorial",-30.93,18.54,-3.63,22.83,11541044.04,22695271,1,0,1,0,0,0,0,1,0,1,1,0,0,0,7.6246189861594,16.2614202863558
"60",60,3005,"Circaetus fasciolatus","Accipitridae","Accipitriformes","AVIBASE-9F2839A9",4,0,1,3,4,39.8,27.7,13.9,23,71.7,362.2,101.5,260.8,28,227,1013.6,"Dunning",NA,"NO",NA,NA,"Woodland",3,1,"Carnivore","Vertivore","Insessorial",-29.24,1.34,-10.35,37.83,734455.97,22695277,2,0,1,0,0,0,0,1,0,0,0,0,1,0,6.92126362900693,13.5068853272581
"61",61,3001,"Circaetus gallicus","Accipitridae","Accipitriformes","AVIBASE-8372FFBA",5,2,3,0,4,47,35,15.5,24.6,90.9,537,216.8,320.2,40.5,280.4,1699.1,"Dunning",NA,"NO",NA,NA,"Woodland",3,3,"Carnivore","Vertivore","Aerial",-10.94,60.6,40.79,51.26,12695589.93,22734216,1,0,1,0,0,1,1,1,1,1,1,0,0,0,7.43785397809171,16.3567652415174
