"","species","agriculture","invasive","residential","energy","transportation","resource_use","instrusion","nat_sys_modif","pollution","geological","climate_change","other"
"41","Accipiter francesiae","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Accipiter gentilis","1","1","0","1","0","1","1","1","1","0","0","0"
"43","Accipiter griseiceps","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Accipiter gularis","1","1","0","0","0","1","0","0","1","0","0","0"
"45","Accipiter gundlachi","1","0","0","0","0","1","0","0","0","0","0","0"
"46","Accipiter haplochrous","1","0","0","0","0","1","0","0","0","0","0","0"
"47","Accipiter henicogrammus","1","0","1","1","1","1","0","1","0","0","0","0"
"48","Accipiter henstii","1","0","0","0","0","1","0","0","0","0","0","0"
"49","Accipiter hiogaster","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Accipiter imitator","1","1","0","0","0","1","0","0","0","0","0","0"
"51","Accipiter luteoschistaceus","1","1","0","1","0","1","0","0","0","0","0","0"
"52","Accipiter madagascariensis","1","0","0","0","0","1","0","0","0","0","0","0"
"53","Accipiter melanochlamys","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Accipiter melanoleucus","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Accipiter meyerianus","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Accipiter minullus","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Accipiter nanus","0","0","0","0","0","1","0","0","0","0","0","0"
"58","Accipiter nisus","1","0","0","1","0","1","0","1","1","0","0","0"
"59","Accipiter novaehollandiae","0","0","0","0","0","0","0","0","0","0","0","0"
"60","Accipiter ovampensis","0","0","0","0","0","1","0","0","0","0","0","0"
"61","Accipiter poliocephalus","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Accipiter poliogaster","1","0","0","0","0","0","0","0","0","0","0","0"
"63","Accipiter princeps","1","0","0","1","0","1","0","0","0","0","1","0"
"64","Accipiter rhodogaster","0","0","0","0","0","0","0","0","0","0","0","0"
"65","Accipiter rufitorques","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Accipiter rufiventris","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Accipiter soloensis","1","0","1","0","1","1","0","0","0","0","0","0"
"68","Accipiter striatus","0","0","0","0","0","0","0","0","0","0","0","0"
"69","Accipiter superciliosus","0","0","0","0","0","0","0","0","0","0","0","0"
"70","Accipiter sylvestris","0","0","0","0","0","0","0","0","0","0","0","0"
"71","Accipiter tachiro","0","0","0","0","0","0","0","0","0","0","0","0"
"72","Accipiter toussenelii","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Accipiter trinotatus","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Accipiter trivirgatus","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Accipiter virgatus","0","0","0","0","0","1","0","0","0","0","0","0"
"76","Aceros nipalensis","1","0","1","0","0","1","0","0","0","0","0","0"
"77","Achaetops pycnopygius","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Acridotheres albocinctus","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Acridotheres burmannicus","0","0","0","0","0","0","0","0","0","0","0","0"
"80","Acridotheres cinereus","0","0","0","0","0","1","0","0","0","0","0","0"
"81","Acridotheres cristatellus","0","0","0","0","0","0","0","0","0","0","0","0"
"82","Acridotheres fuscus","0","0","0","0","0","0","0","0","0","0","0","0"
"83","Acridotheres ginginianus","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Acridotheres grandis","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Acridotheres javanicus","0","0","0","0","0","1","0","0","1","0","0","0"
"86","Acridotheres leucocephalus","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Acridotheres melanopterus","0","0","0","0","0","1","0","0","1","0","0","0"
"88","Acridotheres tristis","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Acritillas indica","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Acrobatornis fonsecai","1","0","0","0","0","1","0","0","0","0","0","0"
"91","Acrocephalus aequinoctialis","1","1","1","0","0","1","0","1","0","0","1","0"
"92","Acrocephalus agricola","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Acrocephalus arundinaceus","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Acrocephalus atyphus","0","0","0","0","0","0","0","0","0","0","1","0"
"95","Acrocephalus australis","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Acrocephalus bistrigiceps","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Acrocephalus brevipennis","0","1","1","0","0","0","0","1","0","0","1","1"
"98","Acrocephalus caffer","0","1","0","0","1","1","1","0","0","0","0","0"
"99","Acrocephalus concinens","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Acrocephalus dumetorum","0","0","0","0","0","0","0","0","0","0","0","0"
"101","Acrocephalus familiaris","0","1","0","0","0","0","0","1","0","0","1","0"
"102","Acrocephalus gracilirostris","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Acrocephalus griseldis","0","0","1","1","0","1","1","1","0","0","1","0"
"104","Acrocephalus hiwae","1","1","1","0","0","0","0","0","0","1","0","0"
"105","Acrocephalus kerearako","1","1","0","0","0","0","0","0","0","0","1","0"
"106","Acrocephalus longirostris","1","1","0","0","1","1","1","0","0","0","0","0"
"107","Acrocephalus melanopogon","0","0","0","0","0","0","0","1","0","0","0","0"
"108","Acrocephalus mendanae","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Acrocephalus newtoni","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Acrocephalus orientalis","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Acrocephalus orinus","1","0","0","0","0","1","0","0","0","0","0","0"
"112","Acrocephalus paludicola","1","0","0","0","0","1","0","1","0","0","1","0"
"113","Acrocephalus palustris","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Acrocephalus percernis","0","0","0","0","0","0","0","0","0","0","0","0"
"115","Acrocephalus rehsei","0","1","0","1","0","0","0","0","0","0","1","0"
"116","Acrocephalus rimitarae","0","1","1","0","0","0","0","0","0","0","1","0"
"117","Acrocephalus rodericanus","1","1","0","0","0","1","1","0","0","0","1","0"
"118","Acrocephalus rufescens","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Acrocephalus schoenobaenus","0","0","0","0","0","0","0","0","0","0","0","0"
"120","Acrocephalus scirpaceus","0","0","0","0","0","0","0","0","0","0","0","0"
"121","Acrocephalus sechellensis","1","1","0","0","0","0","0","0","0","0","0","0"
"122","Acrocephalus sorghophilus","1","0","1","0","0","1","0","0","1","0","0","0"
"123","Acrocephalus stentoreus","0","0","0","0","0","0","0","0","0","0","0","0"
"124","Acrocephalus syrinx","0","0","0","0","0","0","0","0","0","0","0","0"
"125","Acrocephalus taiti","0","1","0","0","0","1","0","0","0","0","1","0"
"126","Acrocephalus tangorum","1","0","1","0","0","0","0","1","0","0","0","0"
"127","Acrocephalus vaughani","1","1","1","0","0","0","0","0","0","0","1","0"
"128","Acropternis orthonyx","0","0","0","0","0","0","0","0","0","0","0","0"
"129","Acryllium vulturinum","0","0","0","0","0","0","0","0","0","0","0","0"
"130","Actenoides bougainvillei","1","1","0","0","0","1","0","0","0","0","0","0"
"131","Actenoides capucinus","1","0","0","0","0","1","0","1","0","0","0","0"
"132","Actenoides concretus","1","0","0","0","0","1","0","1","0","0","0","0"
"133","Actenoides excelsus","1","1","0","1","0","1","0","0","0","0","1","0"
"134","Actenoides hombroni","1","0","0","1","0","1","0","1","0","0","0","0"
"135","Actenoides lindsayi","0","0","0","0","0","0","0","0","0","0","0","0"
"136","Actenoides monachus","1","0","0","0","0","1","0","1","0","0","0","0"
"137","Actenoides princeps","1","0","1","0","0","1","0","0","0","0","0","0"
"138","Actenoides regalis","1","0","1","0","0","1","0","0","0","0","0","0"
"139","Actinodura egertoni","0","0","0","0","0","0","0","0","0","0","0","0"
"140","Actinodura radcliffei","0","0","0","0","0","0","0","0","0","0","0","0"
"141","Actinodura ramsayi","0","0","0","0","0","0","0","0","0","0","0","0"
"142","Actinodura sodangorum","1","0","0","0","1","0","0","0","0","0","0","0"
"143","Actitis hypoleucos","0","0","0","0","0","0","1","0","0","0","0","0"
"144","Actitis macularius","0","0","0","0","0","0","0","0","0","0","0","0"
"145","Actophilornis africanus","0","0","0","0","0","0","0","0","0","0","0","0"
"146","Actophilornis albinucha","1","0","0","0","0","1","0","1","1","0","0","0"
"147","Adelomyia melanogenys","0","0","0","0","0","0","0","0","0","0","0","0"
"148","Aechmophorus clarkii","0","0","0","0","0","0","0","0","0","0","0","0"
"149","Aechmophorus occidentalis","0","0","0","0","0","0","0","0","0","0","0","0"
"150","Aegithalos annamensis","0","0","0","0","0","0","0","0","0","0","0","0"
"151","Aegithalos bonvaloti","0","0","0","0","0","0","0","0","0","0","0","0"
"152","Aegithalos caudatus","0","0","0","0","0","0","0","0","0","0","0","0"
"153","Aegithalos concinnus","0","0","0","0","0","0","0","0","0","0","0","0"
"154","Aegithalos fuliginosus","0","0","0","0","0","0","0","0","0","0","0","0"
"155","Aegithalos glaucogularis","0","0","0","0","0","0","0","0","0","0","0","0"
"156","Aegithalos iouschistos","0","0","0","0","0","0","0","0","0","0","0","0"
"157","Aegithalos iredalei","0","0","0","0","0","0","0","0","0","0","0","0"
"158","Aegithalos leucogenys","0","0","0","0","0","0","0","0","0","0","0","0"
"159","Aegithalos niveogularis","0","0","0","0","0","0","0","0","0","0","0","0"
"160","Aegithina lafresnayei","0","0","0","0","0","0","0","0","0","0","0","0"
"161","Aegithina nigrolutea","0","0","0","0","0","0","0","0","0","0","0","0"
"162","Aegithina tiphia","0","0","0","0","0","0","0","0","0","0","0","0"
"163","Aegithina viridissima","1","0","0","0","0","1","0","1","0","0","0","0"
"164","Aegolius acadicus","0","0","0","0","0","0","0","0","0","0","0","0"
"165","Aegolius funereus","0","1","0","0","0","1","0","0","1","0","0","0"
"166","Aegolius harrisii","0","0","0","0","0","0","0","0","0","0","0","0"
"167","Aegolius ridgwayi","0","0","0","0","0","0","0","0","0","0","0","0"
"168","Aegotheles affinis","1","0","0","0","0","1","0","0","0","0","0","0"
"169","Aegotheles albertisi","0","0","0","0","0","0","0","0","0","0","0","0"
"170","Aegotheles archboldi","0","0","0","0","0","0","0","0","0","0","0","0"
"171","Aegotheles bennettii","0","0","0","0","0","0","0","0","0","0","0","0"
"172","Aegotheles crinifrons","0","0","0","0","0","0","0","0","0","0","0","0"
"173","Aegotheles cristatus","0","0","0","0","0","0","0","0","0","0","0","0"
"174","Aegotheles insignis","0","0","0","0","0","0","0","0","0","0","0","0"
"175","Aegotheles savesi","0","1","0","1","0","1","0","1","0","0","0","0"
"176","Aegotheles tatei","0","0","0","0","0","1","0","0","0","0","0","0"
"177","Aegotheles wallacii","1","1","0","0","0","1","0","0","0","0","0","0"
"178","Aegypius monachus","1","0","0","1","1","1","1","1","0","0","1","1"
"179","Aepypodius arfakianus","0","0","0","0","0","0","0","0","0","0","0","0"
"180","Aepypodius bruijnii","0","1","0","0","0","1","0","1","0","0","1","0"
"181","Aerodramus bartschi","0","1","0","0","0","0","1","0","1","0","0","0"
"182","Aerodramus brevirostris","0","0","0","0","0","0","0","0","0","0","0","0"
"183","Aerodramus elaphrus","0","1","1","1","0","1","0","0","1","0","0","0"
"184","Aerodramus francicus","0","0","0","0","1","1","1","0","1","0","0","0"
"185","Aerodramus fuciphagus","0","0","0","0","0","0","0","0","0","0","0","0"
"186","Aerodramus hirundinaceus","0","0","0","0","0","0","0","0","0","0","0","0"
"187","Aerodramus infuscatus","0","0","0","0","0","0","0","0","0","0","0","0"
"188","Aerodramus inquietus","0","0","0","0","0","0","0","0","0","0","0","0"
"189","Aerodramus leucophaeus","0","0","0","0","0","0","0","0","0","0","0","0"
"190","Aerodramus maximus","0","0","0","0","0","0","0","0","0","0","0","0"
"191","Aerodramus mearnsi","0","0","0","0","0","0","0","0","0","0","0","0"
"192","Aerodramus nuditarsus","0","0","0","0","0","0","0","0","0","0","0","0"
"193","Aerodramus orientalis","0","0","0","0","0","0","0","0","0","0","1","0"
"194","Aerodramus papuensis","0","0","0","0","0","0","0","0","0","0","0","0"
"195","Aerodramus pelewensis","0","0","0","0","0","0","0","0","0","0","0","0"
"196","Aerodramus salangana","0","0","0","0","0","0","0","0","0","0","0","0"
"197","Aerodramus sawtelli","0","1","0","0","0","0","1","0","0","0","0","0"
"198","Aerodramus spodiopygius","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Aerodramus terraereginae","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Aerodramus unicolor","0","0","0","0","0","0","0","0","0","0","0","0"
"201","Aerodramus vanikorensis","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Aerodramus vulcanorum","1","0","0","0","0","1","1","0","0","1","0","0"
"203","Aerodramus whiteheadi","1","0","0","0","0","1","0","0","0","0","1","0"
"204","Aeronautes andecolus","0","0","0","0","0","0","0","0","0","0","0","0"
"205","Aeronautes montivagus","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Aeronautes saxatalis","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Aethia cristatella","0","1","0","0","0","1","0","0","1","0","1","0"
"208","Aethia psittacula","0","1","0","0","0","1","0","0","1","0","1","0"
"209","Aethia pusilla","0","1","0","0","0","0","0","0","0","0","1","0"
"210","Aethia pygmaea","0","0","0","0","0","0","0","0","0","0","1","0"
"211","Aethopyga bella","0","0","0","0","0","0","0","0","0","0","0","0"
"212","Aethopyga boltoni","1","0","0","0","0","1","0","0","0","0","0","0"
"213","Aethopyga christinae","0","0","0","0","0","0","0","0","0","0","0","0"
"214","Aethopyga duyvenbodei","1","0","0","0","0","1","0","0","0","0","0","0"
"215","Aethopyga eximia","0","0","0","0","0","0","0","0","0","0","0","0"
"216","Aethopyga flagrans","0","0","0","0","0","0","0","0","0","0","0","0"
"217","Aethopyga gouldiae","0","0","0","0","0","0","0","0","0","0","0","0"
"218","Aethopyga guimarasensis","0","0","0","0","0","0","0","0","0","0","0","0"
"219","Aethopyga ignicauda","0","0","0","0","0","0","0","0","0","0","0","0"
"220","Aethopyga latouchii","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Aethopyga linaraborae","0","0","0","1","0","0","0","0","0","0","0","0"
"222","Aethopyga magnifica","0","0","0","0","0","0","0","0","0","0","0","0"
"223","Aethopyga mystacalis","0","0","0","0","0","0","0","0","0","0","0","0"
"224","Aethopyga nipalensis","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Aethopyga primigenia","1","0","0","0","0","1","0","1","0","0","1","0"
"226","Aethopyga pulcherrima","0","0","0","0","0","0","0","0","0","0","0","0"
"227","Aethopyga saturata","0","0","0","0","0","0","0","0","0","0","0","0"
"228","Aethopyga shelleyi","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Aethopyga siparaja","0","0","0","0","0","0","0","0","0","0","0","0"
"230","Aethopyga temminckii","0","0","0","0","0","0","0","0","0","0","0","0"
"231","Aethopyga vigorsii","0","0","0","0","0","0","0","0","0","0","0","0"
"232","Afropavo congensis","1","0","0","1","0","1","1","0","0","0","0","0"
"233","Afrotis afra","1","1","0","0","0","0","1","0","0","0","1","0"
"234","Afrotis afraoides","0","0","0","0","0","0","0","0","0","0","0","0"
"235","Agamia agami","1","0","0","0","0","1","0","0","0","0","0","0"
"236","Agapornis canus","0","0","0","0","0","0","0","0","0","0","0","0"
"237","Agapornis fischeri","0","1","0","0","0","1","0","0","0","0","0","0"
"238","Agapornis lilianae","0","0","0","0","0","1","0","1","0","0","0","0"
"239","Agapornis nigrigenis","1","1","0","0","0","1","0","1","0","0","1","0"
"240","Agapornis personatus","0","0","0","0","0","0","0","0","0","0","0","0"
"241","Agapornis pullarius","0","0","0","0","0","0","0","0","0","0","0","0"
"242","Agapornis roseicollis","0","0","0","0","0","0","0","0","0","0","0","0"
"243","Agapornis swindernianus","0","0","0","0","0","0","0","0","0","0","0","0"
"244","Agapornis taranta","0","0","0","0","0","0","0","0","0","0","0","0"
"245","Agelaioides badius","0","0","0","0","0","0","0","0","0","0","0","0"
"246","Agelaioides fringillarius","0","0","0","0","0","0","0","0","0","0","0","0"
"247","Agelaius assimilis","0","0","0","0","0","0","0","0","0","0","0","0"
"248","Agelaius humeralis","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Agelaius phoeniceus","0","0","0","0","0","0","0","0","0","0","0","0"
"250","Agelaius tricolor","1","1","0","0","0","1","0","0","1","0","0","0"
"251","Agelaius xanthomus","1","1","1","0","0","0","1","0","0","0","1","1"
"252","Agelastes meleagrides","1","1","0","0","0","1","0","0","0","0","0","0"
"253","Agelastes niger","0","0","0","0","0","0","0","0","0","0","0","0"
"254","Agelasticus cyanopus","0","0","0","0","0","0","0","0","0","0","0","0"
"255","Agelasticus thilius","0","0","0","0","0","0","0","0","0","0","0","0"
"256","Agelasticus xanthophthalmus","0","0","0","0","0","0","0","0","0","0","0","0"
"257","Aglaeactis aliciae","1","0","0","0","0","0","0","0","0","0","1","0"
"258","Aglaeactis castelnaudii","1","0","0","0","0","1","0","0","0","0","0","0"
"259","Aglaeactis cupripennis","0","0","0","0","0","0","0","0","0","0","0","0"
"260","Aglaeactis pamela","0","0","0","0","0","0","0","0","0","0","0","0"
"261","Aglaiocercus berlepschi","1","0","1","0","1","0","0","0","0","0","0","0"
"262","Aglaiocercus coelestis","0","0","0","0","0","0","0","0","0","0","0","0"
"263","Aglaiocercus kingii","0","0","0","0","0","0","0","0","0","0","0","0"
"264","Agraphospiza rubescens","0","0","0","0","0","0","0","0","0","0","0","0"
"265","Agricola infuscatus","0","0","0","0","0","0","0","0","0","0","0","0"
"266","Agricola pallidus","0","0","0","0","0","0","0","0","0","0","0","0"
"267","Agriornis albicauda","1","1","0","0","0","1","0","0","0","0","0","0"
"268","Agriornis lividus","0","0","0","0","0","0","0","0","0","0","0","0"
"269","Agriornis micropterus","0","0","0","0","0","0","0","0","0","0","0","0"
"270","Agriornis montanus","0","0","0","0","0","0","0","0","0","0","0","0"
"271","Agriornis murinus","0","0","0","0","0","0","0","0","0","0","0","0"
"272","Agropsar philippensis","0","0","0","0","0","0","0","0","0","0","0","0"
"273","Agropsar sturninus","0","0","0","0","0","0","0","0","0","0","0","0"
"274","Ailuroedus buccoides","0","0","0","0","0","0","0","0","0","0","0","0"
"275","Ailuroedus crassirostris","0","0","0","0","0","0","0","0","0","0","1","0"
"276","Ailuroedus melanotis","0","0","0","0","0","0","0","0","0","0","0","0"
"277","Aimophila notosticta","1","0","0","0","0","1","0","0","0","0","0","0"
"278","Aimophila rufescens","0","0","0","0","0","0","0","0","0","0","0","0"
"279","Aimophila ruficeps","0","0","0","0","0","0","0","0","0","0","0","0"
"280","Aix galericulata","0","0","0","0","0","0","0","0","0","0","0","0"
"281","Aix sponsa","0","0","0","0","0","0","0","0","0","0","0","0"
"282","Akletos goeldii","0","0","0","0","0","0","0","0","0","0","0","0"
"283","Akletos melanoceps","0","0","0","0","0","0","0","0","0","0","0","0"
"284","Alaemon alaudipes","0","0","0","0","0","0","0","0","0","0","0","0"
"285","Alaemon hamertoni","0","0","0","0","0","0","0","0","0","0","0","0"
"286","Alauda arvensis","0","0","0","0","0","0","0","0","0","0","0","0"
"287","Alauda gulgula","0","0","0","0","0","0","0","0","0","0","0","0"
"288","Alauda leucoptera","0","0","0","0","0","0","0","0","0","0","0","0"
"289","Alauda razae","0","1","0","0","0","0","0","0","0","0","1","0"
"290","Alaudala raytal","0","0","0","0","0","0","0","0","0","0","0","0"
"291","Alaudala rufescens","0","0","0","0","0","0","0","0","0","0","0","0"
"292","Alaudala somalica","0","0","0","0","0","0","0","0","0","0","0","0"
"293","Alca torda","0","1","0","1","0","1","0","0","1","0","1","0"
"294","Alcedo atthis","0","0","0","0","0","0","0","0","0","0","0","0"
"295","Alcedo coerulescens","0","0","0","0","0","0","0","0","0","0","0","0"
"296","Alcedo euryzona","1","0","1","0","0","1","0","1","0","0","0","0"
"297","Alcedo hercules","0","0","0","0","0","1","1","0","1","0","0","0"
"298","Alcedo meninting","0","0","0","0","0","0","0","0","0","0","0","0"
"299","Alcedo peninsulae","1","0","1","0","0","1","0","1","0","0","0","0"
"300","Alcedo quadribrachys","0","0","0","0","0","0","0","0","0","0","0","0"
"301","Alcedo semitorquata","0","0","0","0","0","0","0","0","0","0","0","0"
"302","Alcippe brunneicauda","1","0","0","0","0","1","0","1","0","0","0","0"
"303","Alcippe grotei","0","0","0","0","0","0","0","0","0","0","0","0"
"304","Alcippe morrisonia","0","0","0","0","0","0","0","0","0","0","0","0"
"305","Alcippe nipalensis","0","0","0","0","0","0","0","0","0","0","0","0"
"306","Alcippe peracensis","0","0","0","0","0","0","0","0","0","0","0","0"
"307","Alcippe poioicephala","0","0","0","0","0","0","0","0","0","0","0","0"
"308","Alcippe pyrrhoptera","0","0","0","0","0","0","0","0","0","0","0","0"
"309","Alcurus striatus","0","0","0","0","0","0","0","0","0","0","0","0"
"310","Aleadryas rufinucha","0","0","0","0","0","0","0","0","0","0","0","0"
"311","Alectoris barbara","0","0","0","0","0","0","0","0","0","0","0","0"
"312","Alectoris chukar","0","0","0","0","0","0","0","0","0","0","0","0"
"313","Alectoris graeca","1","1","1","0","0","1","0","0","0","0","1","0"
"314","Alectoris magna","0","0","0","0","0","0","0","0","0","0","0","0"
"315","Alectoris melanocephala","0","0","0","0","0","0","0","0","0","0","0","0"
"316","Alectoris philbyi","0","0","0","0","0","1","0","0","0","0","0","0"
"317","Alectoris rufa","1","1","0","0","0","1","0","0","1","0","0","0"
"318","Alectroenas madagascariensis","0","0","0","0","0","0","0","0","0","0","0","0"
"319","Alectroenas pulcherrimus","0","0","0","0","0","0","0","0","0","0","0","0"
"320","Alectroenas sganzini","1","0","0","0","0","1","0","0","0","0","0","0"
"321","Alectrurus risora","1","0","0","0","0","0","0","1","1","0","0","0"
"322","Alectrurus tricolor","1","1","0","1","0","0","0","1","0","0","0","0"
"323","Alectura lathami","0","0","0","0","0","0","0","0","0","0","0","0"
"324","Alethe castanea","0","0","0","0","0","0","0","0","0","0","0","0"
"325","Alethe diademata","0","0","0","0","0","0","0","0","0","0","0","0"
"326","Alexandrinus eques","1","1","0","0","0","1","0","0","0","0","1","1"
"327","Alexandrinus krameri","0","0","0","0","0","0","0","0","0","0","0","0"
"328","Alipiopsitta xanthops","1","0","0","0","0","1","0","0","0","0","1","0"
"329","Alisterus amboinensis","0","0","0","0","0","0","0","0","0","0","0","0"
"330","Alisterus chloropterus","0","0","0","0","0","0","0","0","0","0","0","0"
"331","Alisterus scapularis","0","0","0","0","0","0","0","0","0","0","1","0"
"332","Alle alle","0","0","0","1","0","1","0","0","1","0","1","0"
"333","Allenia fusca","0","0","0","0","0","0","0","0","0","0","0","0"
"334","Alopecoenas beccarii","0","0","0","0","0","0","0","0","0","0","0","0"
"335","Alopecoenas canifrons","1","1","1","0","1","0","1","0","0","0","0","0"
"336","Alopecoenas erythropterus","0","1","0","0","0","1","0","0","0","0","1","0"
"337","Alopecoenas hoedtii","1","0","0","1","0","1","0","0","0","0","0","0"
"338","Alopecoenas jobiensis","0","0","0","0","0","0","0","0","0","0","0","0"
"339","Alopecoenas johannae","0","0","0","0","0","0","0","0","0","0","0","0"
"340","Alopecoenas kubaryi","1","1","0","0","0","1","0","0","0","0","0","0"
"341","Alopecoenas rubescens","0","1","0","0","0","0","0","0","0","0","1","0"
"342","Alopecoenas sanctaecrucis","1","1","0","0","0","1","0","0","0","1","0","0"
"343","Alopecoenas stairi","0","1","0","0","0","1","0","0","0","0","0","0"
"344","Alopecoenas xanthonurus","0","1","0","0","0","1","0","0","0","0","0","0"
"345","Alophoixus bres","0","0","0","0","0","1","0","0","0","0","0","0"
"346","Alophoixus flaveolus","0","0","0","0","0","0","0","0","0","0","0","0"
"347","Alophoixus frater","0","0","0","0","0","0","0","0","0","0","0","0"
"348","Alophoixus griseiceps","0","0","0","0","0","0","0","0","0","0","0","0"
"349","Alophoixus ochraceus","0","0","0","0","0","0","0","0","0","0","0","0"
"350","Alophoixus pallidus","0","0","0","0","0","0","0","0","0","0","0","0"
"351","Alophoixus phaeocephalus","0","0","0","0","0","0","0","0","0","0","0","0"
"352","Alophoixus ruficrissus","0","0","0","0","0","0","0","0","0","0","0","0"
"353","Alophoixus tephrogenys","1","0","1","0","0","1","0","1","0","0","0","0"
"354","Alopochelidon fucata","0","0","0","0","0","0","0","0","0","0","0","0"
"355","Alopochen aegyptiaca","0","0","0","0","0","0","0","0","0","0","0","0"
